id,z_phot,z_phot16,z_phot84,lbol,r_eff_50_phys,z_dist_proxy,log_Sigma,log_Reff,log_lbol,z_asym_norm,density_group,size_group
1072,8.90596,8.568745,9.051126,46.376475179281314,78.83757820174078,0.48238100000000017,-2.624318685058791,1.8967332747934187,1.6662977372221803,0.3981272065027452,Q3 (high Σ),Q2 (small)
1381,5.6625967,3.9988518,5.6900406,45.02834459052886,120.01283584270938,1.6911887999999995,-3.0021192877728673,2.07922769802712,1.6534859809755065,0.9675448418296057,Q2 (low Σ),Q4 (largest)
1470,5.3967586,5.306068,5.457796,44.399084466096475,146.5718278440177,0.1517280000000003,-3.1818768655092193,2.1660505038137066,1.6473740148123281,0.19543657070547432,Q1 (lowest Σ),Q4 (largest)
1544,5.463462,5.448576,5.482042,44.45207669675999,120.55093383660046,0.033465999999999774,-3.0115989755910615,2.0811705789483272,1.6478920549997274,-0.11038068487421064,Q1 (lowest Σ),Q4 (largest)
1939,4.3620567,4.0643554,4.535704,44.59130957002923,99.5346059965892,0.4713485999999998,-2.8438478489840993,1.9979741016542318,1.6492502270184979,0.26318949499372685,Q2 (low Σ),Q3 (large)
3992,5.6593285,5.641146,5.680824,45.24770545530177,79.56723036871635,0.039678000000000324,-2.6430217941916534,1.9007342411009474,1.6555965607043752,-0.08349715207420526,Q3 (high Σ),Q2 (small)
7991,5.655741,5.6563582,7.038401,45.93179992781693,127.5731514212076,1.3820428000000007,-3.0465549762074993,2.1057592839736166,1.6621134644338678,-1.0008931706022415,Q1 (lowest Σ),Q4 (largest)
8559,7.9365425,7.8029203,8.026242,46.69579380897957,85.23854166436611,0.22332169999999962,-2.689144131699127,1.930636010815317,1.669277762625641,0.19667905089384333,Q3 (high Σ),Q2 (small)
10404,5.6559963,5.6338143,5.683741,45.59588092944524,83.28728747516016,0.049926700000000324,-2.6793816980067855,1.920578718084892,1.6589256108571322,-0.11141733781724887,Q3 (high Σ),Q2 (small)
11219,5.4287095,5.3946824,5.4617147,45.8993461076991,69.45012848458238,0.06703230000000016,-2.5186894812300653,1.8416730535307044,1.6618064985254777,0.015244889404070303,Q4 (highest Σ),Q1 (smallest)
