id,field,group,z_phot,n_bands,ir_excess,r_eff,z_dist_pred,chi2nu_null,chi2nu_geff,delta_chi2_nu,delta_BIC,verdict
33774,primer-uds-north,Silver,7.137637,7,4.193475,130.272196,0.095279,27.965899,28.955071,-0.989172,-4.945859,Neutral
35111,primer-uds-north,Silver,5.656314,7,8.971426,110.390026,0.056355,197.326842,204.005696,-6.678854,-33.394272,Null wins
36327,primer-uds-north,Silver,7.861698,7,5.085726,99.203249,0.117943,2.301766,9.043952,-6.742186,-33.710930,Null wins
43738,primer-uds-north,Silver,5.090068,7,11.861752,93.799262,0.044109,299.532446,314.633693,-15.101247,-75.506235,Null wins
43932,primer-uds-north,Silver,4.235388,7,3.183248,124.439917,0.028493,77.870105,78.807621,-0.937515,-4.687577,Neutral
44053,primer-uds-north,Silver,5.438139,7,11.832292,126.513981,0.051462,145.016154,148.792033,-3.775880,-18.879398,Null wins
44681,primer-uds-north,Silver,4.581166,7,8.448232,82.077164,0.034385,90.567010,88.052188,2.514822,12.574108,Weak
46085,primer-uds-north,Silver,4.785850,7,6.071449,75.192617,0.038148,3274.785301,3277.859144,-3.073843,-15.369217,Null wins
52856,primer-uds-north,Silver,6.320852,7,1.581968,130.368984,0.072592,24.801102,10.210180,14.590922,72.954610,Weak
53667,primer-uds-north,Silver,4.563921,7,6.007958,139.532923,0.034078,183.724870,184.038393,-0.313523,-1.567615,Neutral
54143,primer-uds-north,Silver,4.731502,7,3.272482,135.457541,0.037129,3.619166,3.521129,0.098037,0.490185,Weak
54603,primer-uds-north,Silver,5.651867,7,4.559896,120.811497,0.056254,41.805334,42.581974,-0.776640,-3.883200,Neutral
57469,primer-uds-north,Silver,5.667973,7,4.547260,105.373559,0.056623,339.119865,346.931517,-7.811653,-39.058263,Null wins
57944,primer-uds-north,Silver,5.289790,7,7.561380,79.150020,0.048260,52.356896,54.006436,-1.649540,-8.247700,Null wins
61298,primer-uds-north,Silver,5.242596,7,12.237079,85.421607,0.047262,148.382586,152.189164,-3.806578,-19.032889,Null wins
61378,primer-uds-north,Silver,7.458285,7,2.519691,117.586980,0.105017,6.711368,6.666737,0.044630,0.223152,Weak
62716,primer-uds-north,Silver,5.386735,7,4.870937,88.860825,0.050341,54.013310,56.856900,-2.843590,-14.217951,Null wins
64273,primer-uds-north,Silver,7.131560,7,10.496625,95.451001,0.095100,11.979714,12.609639,-0.629926,-3.149629,Neutral
66007,primer-uds-north,Silver,4.596338,7,12.396732,90.985771,0.034657,2.087353,2.192107,-0.104754,-0.523769,Neutral
67270,primer-uds-north,Silver,5.665101,7,9.928165,82.005429,0.056557,237.423434,245.542482,-8.119048,-40.595241,Null wins
68006,primer-uds-north,Silver,5.160265,7,17.173659,74.139725,0.045547,180.892558,190.679681,-9.787123,-48.935616,Null wins
69921,primer-uds-north,Silver,5.654877,7,14.530826,112.600753,0.056322,60.413440,62.095758,-1.682318,-8.411590,Null wins
70423,primer-uds-north,Silver,5.477656,7,16.198160,95.351148,0.052332,9.322405,9.915498,-0.593093,-2.965464,Neutral
70813,primer-uds-north,Silver,4.706270,7,6.032304,100.703448,0.036661,207.627872,207.170863,0.457008,2.285042,Weak
71037,primer-uds-north,Silver,6.849483,7,14.702817,68.421584,0.086930,61.990705,61.547916,0.442789,2.213947,Weak
71893,primer-uds-north,Silver,6.429184,7,4.213375,134.075481,0.075427,9.560901,1.033609,8.527292,42.636460,Weak
6282,primer-cosmos-east,Silver,5.673777,7,4.822052,74.255743,0.056757,275.831840,283.876274,-8.044433,-40.222167,Null wins
10696,primer-cosmos-east,Silver,5.667762,7,7.701382,88.375871,0.056618,84.868353,87.682295,-2.813942,-14.069709,Null wins
11967,primer-cosmos-east,Silver,5.482298,7,5.150170,133.146417,0.052435,12.533870,12.851955,-0.318086,-1.590428,Neutral
14086,primer-cosmos-east,Silver,7.127323,7,11.301566,78.360292,0.094974,19.936263,21.110017,-1.173754,-5.868771,Null wins
14487,primer-cosmos-east,Silver,7.169253,7,4.531128,141.483996,0.096219,2.478703,2.519072,-0.040369,-0.201843,Neutral
15393,primer-cosmos-east,Silver,5.689460,7,4.274005,123.696283,0.057118,8.757140,8.969255,-0.212115,-1.060574,Neutral
16083,primer-cosmos-east,Silver,4.577880,7,6.662736,90.461940,0.034327,222.382083,222.633247,-0.251164,-1.255820,Neutral
16408,primer-cosmos-east,Silver,4.574863,7,6.287146,91.369301,0.034273,67.424099,67.535030,-0.110931,-0.554655,Neutral
16563,primer-cosmos-east,Silver,5.021993,7,12.774675,70.934982,0.042737,763.208102,777.410810,-14.202708,-71.013539,Null wins
17813,primer-cosmos-east,Silver,5.226693,7,8.076447,109.409215,0.046928,32.322727,33.113229,-0.790502,-3.952512,Neutral
19462,primer-cosmos-east,Silver,4.365069,7,7.039152,94.051937,0.030634,31.876666,23.039542,8.837124,44.185621,Weak
19946,primer-cosmos-east,Silver,5.974449,7,5.613347,87.651062,0.063879,80.937579,83.647431,-2.709852,-13.549259,Null wins
20187,primer-cosmos-east,Silver,6.608168,7,9.146067,72.954049,0.080228,544.021681,171.140090,372.881591,1864.407957,Weak
21943,primer-cosmos-east,Silver,4.715499,7,5.692196,118.535071,0.036832,95.210090,95.579665,-0.369576,-1.847878,Neutral
23571,primer-cosmos-east,Silver,4.760719,7,3.109564,102.909192,0.037675,18.916879,18.545237,0.371642,1.858210,Weak
26971,primer-cosmos-east,Silver,6.406652,7,4.347196,133.575559,0.074833,996.247945,338.506693,657.741252,3288.706261,Weak
27072,primer-cosmos-east,Silver,4.957128,7,0.911996,63.849597,0.041450,508508.306416,508508.306416,0.000000,0.000000,Neutral
27765,primer-cosmos-east,Silver,5.172642,7,7.739592,83.079543,0.045803,175.150254,179.382056,-4.231802,-21.159009,Null wins
31668,primer-cosmos-east,Silver,5.607691,7,11.875553,65.879988,0.055246,1256.548915,1282.368675,-25.819759,-129.098797,Null wins
31770,primer-cosmos-east,Silver,5.779070,7,11.060744,65.865147,0.059204,2582.165136,2674.492263,-92.327126,-461.635631,Null wins
32928,primer-cosmos-east,Silver,4.458100,7,6.712478,88.296230,0.032221,1769.747034,706.311522,1063.435512,5317.177558,Weak
40209,primer-cosmos-east,Silver,5.460908,7,7.850880,96.231454,0.051963,61.203662,63.825914,-2.622252,-13.111260,Null wins
40642,primer-cosmos-east,Silver,4.634340,7,2.790977,99.402466,0.035343,18.397884,17.977642,0.420242,2.101210,Weak
40799,primer-cosmos-east,Silver,7.681151,7,11.337015,72.908804,0.112064,22.106636,24.561114,-2.454477,-12.272386,Null wins
42464,primer-cosmos-east,Silver,5.367483,7,6.143017,104.961686,0.049924,942.476352,973.808832,-31.332480,-156.662401,Null wins
47824,primer-cosmos-east,Silver,5.655495,7,4.976539,104.233610,0.056337,189.799277,194.552448,-4.753171,-23.765856,Null wins
48540,primer-cosmos-east,Silver,5.656249,7,6.732090,129.661406,0.056354,23.654374,24.235998,-0.581624,-2.908121,Neutral
50325,primer-cosmos-east,Silver,6.427699,7,2.702257,136.026205,0.075388,316.197491,117.561110,198.636381,993.181905,Weak
50988,primer-cosmos-east,Silver,4.526494,7,9.680013,112.927320,0.033415,695.745622,683.736066,12.009556,60.047781,Weak
51514,primer-cosmos-east,Silver,4.436740,7,7.179855,100.438901,0.031853,1934.127849,812.355679,1121.772170,5608.860849,Weak
51855,primer-cosmos-east,Silver,4.651201,7,3.907097,94.250442,0.035650,678.009207,672.678062,5.331146,26.655728,Weak
52084,primer-cosmos-east,Silver,7.075610,7,15.637014,55.488547,0.093450,290.501070,302.441504,-11.940433,-59.702167,Null wins
