rank,pair_type,score,source_1_id,source_2_id,s1_sample,s2_sample,s1_field,s2_field,same_field,s1_z,s2_z,delta_z,s1_logSigma,s2_logSigma,delta_logSigma,s1_Sigma_rank,s2_Sigma_rank,s1_color_AB,s2_color_AB,delta_color,s1_flux_ratio,s2_flux_ratio,s1_Av,s2_Av,delta_Av,sep_arcmin,sep_deg,higher_z_bluer,higher_z_lower_Sigma
26,III,311.41100000000006,3099,16053,A,A,gds,gds,True,5.4584,6.9018,1.4434,-4.466,-5.374,0.907,134,284,-2.642,-0.79,-1.851,11.392,2.07,2.7,2.0,0.7,4.49,0.0748,True,True
27,I_conflict,311.3,27072,40799,A,A,primer-cosmos-east,primer-cosmos-east,True,4.9571,7.6812,2.724,-2.262,-4.551,2.288,37,160,0.1,-2.636,2.736,0.912,11.337,0.0,2.6,-2.6,4.74,0.0789,False,True
28,III,310.8865,20897,41179,A,A,ceers-full,ceers-full,True,4.5331,7.2423,2.7091,-3.869,-4.229,0.36,53,104,-3.669,-1.38,-2.289,29.349,3.564,1.3,2.1,-0.8,2.07,0.0345,True,True
29,III,310.2685,48927,56783,A,A,primer-uds-north,primer-uds-north,True,7.9073,5.3134,2.5939,-5.073,-4.576,0.497,242,169,-1.601,-3.33,1.729,4.368,21.479,2.8000000000000003,1.8,1.0,3.69,0.0615,True,True
30,III,310.26149999999996,55902,68006,A,A,primer-uds-north,primer-uds-north,True,8.6704,5.1603,3.5101,-4.714,-3.797,0.917,195,47,-1.885,-3.087,1.202,5.677,17.174,2.9000000000000004,1.4,1.5,4.35,0.0725,True,True
31,III,309.2745,23575,52856,A,A,primer-uds-north,primer-uds-north,True,5.6606,6.3209,0.6603,-4.518,-5.287,0.769,146,272,-2.624,-0.498,-2.126,11.212,1.582,2.0,0.0,2.0,3.11,0.0519,True,True
32,III,308.938,42093,47021,A,A,ceers-full,ceers-full,True,6.4459,8.0231,1.5772,-3.857,-5.003,1.146,52,234,-3.058,-1.44,-1.618,16.711,3.767,1.7000000000000002,0.9,0.8,1.28,0.0213,True,True
33,III,308.7305,1498,14605,A,A,gds,gds,True,4.6634,6.9281,2.2647,-4.294,-4.925,0.632,114,223,-2.958,-0.742,-2.216,15.251,1.981,1.4,2.5,-1.1,3.04,0.0506,True,True
34,III,307.47249999999997,32025,52856,A,A,primer-uds-north,primer-uds-north,True,4.0433,6.3209,2.2775,-4.381,-5.287,0.907,122,272,-2.02,-0.498,-1.522,6.426,1.582,0.6000000000000001,0.0,0.6,4.38,0.073,True,True
35,III,306.916,24081,52856,A,A,primer-uds-north,primer-uds-north,True,5.6564,6.3209,0.6644,-4.252,-5.287,1.035,110,272,-2.416,-0.498,-1.918,9.254,1.582,1.8,0.0,1.8,3.71,0.0619,True,True
