rank,pair_type,score,source_1_id,source_2_id,s1_sample,s2_sample,s1_field,s2_field,same_field,s1_z,s2_z,delta_z,s1_logSigma,s2_logSigma,delta_logSigma,s1_Sigma_rank,s2_Sigma_rank,s1_color_AB,s2_color_AB,delta_color,s1_flux_ratio,s2_flux_ratio,s1_Av,s2_Av,delta_Av,sep_arcmin,sep_deg,higher_z_bluer,higher_z_lower_Sigma
449,III,219.86849999999998,50325,52124,A,A,primer-cosmos-east,primer-cosmos-east,True,6.4277,4.8338,1.5939,-5.032,-4.691,0.342,238,190,-1.079,-1.893,0.814,2.702,5.717,0.1,1.2000000000000002,-1.1,2.86,0.0476,True,True
450,III,219.80599999999998,23868,45202,A,A,gds,gds,True,8.9276,7.1313,1.7964,-5.234,-4.571,0.662,261,167,-2.742,-3.302,0.56,12.498,20.926,2.6,2.8000000000000003,-0.2,2.55,0.0425,True,True
451,III,219.5655,47021,71321,A,A,ceers-full,ceers-full,True,8.0231,7.1293,0.8937,-5.003,-4.476,0.527,234,139,-1.44,-2.347,0.907,3.767,8.687,0.9,1.9,-1.0,3.2,0.0534,True,True
452,III,219.49299999999997,46085,52141,A,A,primer-uds-north,primer-uds-north,True,4.7858,7.1301,2.3442,-3.966,-4.607,0.641,61,179,-1.958,-1.557,-0.402,6.071,4.194,1.3,3.0,-1.7,0.75,0.0124,True,True
453,III_weak,219.27949999999998,42014,52856,A,A,primer-uds-north,primer-uds-north,True,4.5516,6.3209,1.7693,-5.575,-5.287,0.288,291,272,-1.78,-0.498,-1.282,5.153,1.582,0.3,0.0,0.3,1.9,0.0316,True,False
454,III,219.0875,22049,71267,A,A,ceers-full,ceers-full,True,7.135,7.5175,0.3825,-4.149,-4.649,0.5,94,184,-2.575,-1.507,-1.067,10.714,4.008,2.5,3.1,-0.6,4.98,0.083,True,True
455,I,219.07299999999998,32986,42859,A,A,primer-uds-north,primer-uds-north,True,4.1527,6.5809,2.4282,-5.021,-4.421,0.6,236,126,-1.26,-3.653,2.393,3.192,28.92,0.0,1.2000000000000002,-1.2,3.02,0.0504,False,False
456,III,218.84499999999997,52856,54603,A,A,primer-uds-north,primer-uds-north,True,6.3209,5.6519,0.669,-5.287,-5.075,0.212,272,244,-0.498,-1.647,1.149,1.582,4.56,0.0,2.5,-2.5,2.81,0.0468,True,True
457,I,218.78500000000003,33332,42859,A,A,primer-uds-north,primer-uds-north,True,4.542,6.5809,2.039,-5.076,-4.421,0.655,246,126,-1.182,-3.653,2.471,2.971,28.92,0.8,1.2000000000000002,-0.4,3.38,0.0564,False,False
458,III,218.76,44531,65646,A,A,gds,gds,True,7.1241,5.6581,1.466,-4.951,-4.686,0.264,226,189,-2.087,-2.464,0.377,6.839,9.674,1.5,-99.0,100.5,4.77,0.0796,True,True
459,III_weak,218.6985,39711,55634,A,A,primer-uds-south,primer-uds-south,True,5.462,6.8798,1.4179,-5.308,-4.423,0.886,275,127,-1.568,-0.551,-1.017,4.238,1.661,1.5,0.1,1.4,3.34,0.0556,True,False
460,III,218.6375,29106,48927,A,A,primer-uds-north,primer-uds-north,True,5.2048,7.9073,2.7025,-4.528,-5.073,0.545,150,242,-1.936,-1.601,-0.335,5.948,4.368,1.1,2.8000000000000003,-1.7,3.75,0.0625,True,True
461,III,218.589,26971,32928,A,A,primer-cosmos-east,primer-cosmos-east,True,6.4067,4.4581,1.9486,-4.718,-4.027,0.692,198,71,-1.596,-2.067,0.472,4.347,6.712,0.5,1.7000000000000002,-1.2,1.94,0.0324,True,True
462,III,218.529,45637,60046,A,A,primer-uds-south,primer-uds-south,True,4.5363,5.4628,0.9266,-4.45,-5.145,0.696,130,254,-1.252,-0.977,-0.275,3.169,2.46,1.2000000000000002,1.0,0.2,2.58,0.0429,True,True
463,III,218.40200000000002,25430,69772,A,A,primer-uds-south,primer-uds-south,True,7.1282,5.4294,1.6988,-4.556,-3.832,0.724,162,50,-2.014,-2.537,0.524,6.389,10.35,2.7,2.7,0.0,4.93,0.0822,True,True
464,I,218.37,18893,31668,A,A,primer-cosmos-east,primer-cosmos-east,True,4.8477,5.6077,0.76,-5.582,-3.833,1.749,292,51,-0.496,-2.687,2.19,1.58,11.876,0.1,1.6,-1.5,4.06,0.0677,False,False
465,III_weak,218.1945,30600,41179,A,A,ceers-full,ceers-full,True,4.0259,7.2423,3.2163,-4.874,-4.229,0.645,220,104,-2.492,-1.38,-1.112,9.925,3.564,0.6000000000000001,2.1,-1.5,3.74,0.0623,True,False
466,III_weak,217.9015,67137,73890,A,A,ceers-full,ceers-full,True,7.4965,5.6603,1.8361,-4.25,-4.777,0.527,108,205,-0.488,-1.579,1.091,1.568,4.282,3.9,3.0,0.9,2.22,0.0369,True,False
467,III,217.851,44435,51593,A,A,primer-uds-south,primer-uds-south,True,5.1733,4.4579,0.7154,-4.854,-4.455,0.399,217,132,-2.591,-3.094,0.503,10.873,17.278,1.1,1.0,0.1,0.83,0.0138,True,True
468,III,217.8385,43738,57469,A,A,primer-uds-north,primer-uds-north,True,5.0901,5.668,0.5779,-4.063,-4.467,0.404,78,135,-2.685,-1.644,-1.041,11.862,4.547,1.7000000000000002,3.1,-1.4,1.44,0.024,True,True
469,III,217.80450000000002,61378,69936,A,A,primer-uds-north,primer-uds-north,True,7.4583,7.034,0.4243,-5.262,-4.529,0.733,267,151,-1.003,-1.392,0.389,2.52,3.605,2.2,2.1,0.1,4.81,0.0802,True,True
470,III,217.762,15393,27765,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6895,5.1726,0.5168,-5.55,-4.457,1.092,290,133,-1.577,-2.222,0.645,4.274,7.74,1.4,2.2,-0.8,3.61,0.0602,True,True
471,III,217.662,19946,31668,A,A,primer-cosmos-east,primer-cosmos-east,True,5.9744,5.6077,0.3668,-4.715,-3.833,0.882,196,51,-1.873,-2.687,0.814,5.613,11.876,1.0,1.6,-0.6,3.22,0.0536,True,True
472,III,217.512,36886,40589,A,A,ceers-full,ceers-full,True,4.4499,8.0067,3.5568,-4.236,-4.478,0.242,105,140,-2.303,-2.066,-0.238,8.344,6.703,1.3,3.3000000000000003,-2.0,0.49,0.0081,True,True
473,III,217.482,15257,18804,A,A,primer-uds-north,primer-uds-north,True,6.9201,4.3173,2.6028,-4.731,-4.229,0.503,201,103,-1.774,-2.141,0.367,5.126,7.184,1.3,1.5,-0.2,4.1,0.0683,True,True
474,III,217.4685,14258,32880,A,A,primer-uds-south,primer-uds-south,True,5.4719,4.756,0.7159,-5.323,-4.821,0.501,277,211,-1.848,-2.281,0.434,5.484,8.176,1.8,0.9,0.9,2.34,0.0389,True,True
475,III,217.466,13736,14076,A,A,ceers-full,ceers-full,True,5.357,5.6614,0.3044,-4.06,-4.855,0.795,77,218,-2.527,-1.647,-0.881,10.254,4.557,1.4,1.9,-0.5,1.1,0.0183,True,True
476,III,217.16699999999997,48540,50988,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6562,4.5265,1.1298,-5.23,-4.046,1.184,260,73,-2.07,-2.465,0.394,6.732,9.68,0.4,1.7000000000000002,-1.3,3.73,0.0621,True,True
477,III,216.7895,19416,31645,A,A,primer-uds-north,primer-uds-north,True,5.4332,4.7559,0.6773,-5.405,-4.758,0.646,285,203,-1.38,-1.725,0.345,3.565,4.897,1.9,0.8,1.1,3.43,0.0571,True,True
478,III,216.76100000000002,57944,71893,A,A,primer-uds-north,primer-uds-north,True,5.2898,6.4292,1.1394,-4.472,-5.236,0.764,137,262,-2.197,-1.562,-0.635,7.561,4.213,1.7000000000000002,1.7000000000000002,0.0,1.69,0.0282,True,True
479,III,216.66750000000002,50325,51855,A,A,primer-cosmos-east,primer-cosmos-east,True,6.4277,4.6512,1.7765,-5.032,-4.198,0.834,238,101,-1.079,-1.48,0.4,2.702,3.907,0.1,0.7000000000000001,-0.6,1.2,0.02,True,True
480,III,216.37,39711,57494,A,A,primer-uds-south,primer-uds-south,True,5.462,4.024,1.438,-5.308,-4.008,1.3,275,67,-1.568,-1.784,0.216,4.238,5.173,1.5,1.6,-0.1,3.62,0.0604,True,True
481,III,215.8345,53667,61010,A,A,primer-uds-north,primer-uds-north,True,4.5639,7.1342,2.5703,-4.837,-5.287,0.451,215,273,-1.947,-1.572,-0.375,6.008,4.253,0.9,1.0,-0.1,3.01,0.0501,True,True
482,III,215.7455,13666,18540,A,A,primer-cosmos-west,primer-cosmos-west,True,5.2881,8.9337,3.6457,-4.657,-4.869,0.212,185,219,-2.219,-2.025,-0.194,7.718,6.458,1.4,1.7000000000000002,-0.3,3.86,0.0644,True,True
483,III,215.427,52581,67076,A,A,primer-uds-south,primer-uds-south,True,6.167,7.9368,1.7698,-4.052,-4.528,0.476,74,149,-2.502,-1.909,-0.592,10.017,5.804,1.3,3.9,-2.6,3.97,0.0661,True,True
484,III_weak,215.338,30600,59162,A,A,ceers-full,ceers-full,True,4.0259,7.8411,3.8152,-4.874,-4.082,0.792,220,80,-2.492,-1.705,-0.787,9.925,4.808,0.6000000000000001,3.9,-3.3,2.76,0.046,True,False
485,III,215.229,32025,33332,A,A,primer-uds-north,primer-uds-north,True,4.0433,4.542,0.4986,-4.381,-5.076,0.695,122,246,-2.02,-1.182,-0.838,6.426,2.971,0.6000000000000001,0.8,-0.2,2.84,0.0474,True,True
486,III,215.19,15393,21943,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6895,4.7155,0.974,-5.55,-5.049,0.501,290,239,-1.577,-1.888,0.311,4.274,5.692,1.4,0.8,0.6,2.08,0.0347,True,True
487,III_weak,215.1705,22388,37563,A,A,gds,gds,True,7.1819,5.7131,1.4687,-2.943,-5.356,2.413,38,281,-0.785,-0.801,0.015,2.062,2.091,0.2,0.1,0.1,2.09,0.0348,True,False
488,III,215.079,18804,54603,A,A,primer-uds-north,primer-uds-north,True,4.3173,5.6519,1.3346,-4.229,-5.075,0.847,103,244,-2.141,-1.647,-0.493,7.184,4.56,1.5,2.5,-1.0,3.76,0.0627,True,True
489,I,214.8715,37563,45202,A,A,gds,gds,True,5.7131,7.1313,1.4181,-5.356,-4.571,0.785,281,167,-0.801,-3.302,2.501,2.091,20.926,0.1,2.8000000000000003,-2.7,1.21,0.0202,False,False
490,III,214.71099999999998,52856,54143,A,A,primer-uds-north,primer-uds-north,True,6.3209,4.7315,1.5894,-5.287,-5.073,0.214,272,243,-0.498,-1.287,0.789,1.582,3.272,0.0,0.9,-0.9,4.77,0.0795,True,True
491,I_conflict,214.2615,32147,41129,A,A,gds,gds,True,4.6032,7.1334,2.5301,-4.148,-4.56,0.412,93,165,-1.802,-3.781,1.979,5.257,32.541,2.6,3.5,-0.9,3.04,0.0506,False,True
492,I_conflict,214.0145,18537,23868,A,A,gds,gds,True,4.2773,8.9276,4.6503,-4.812,-5.234,0.422,210,261,-1.41,-2.742,1.332,3.665,12.498,1.2000000000000002,2.6,-1.4,1.14,0.0191,False,True
493,I,213.95,18537,41129,A,A,gds,gds,True,4.2773,7.1334,2.856,-4.812,-4.56,0.252,210,165,-1.41,-3.781,2.371,3.665,32.541,1.2000000000000002,3.5,-2.3,2.7,0.0451,False,False
494,III,213.5825,6282,14487,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6738,7.1693,1.4955,-4.11,-5.535,1.425,86,288,-1.708,-1.641,-0.068,4.822,4.531,1.8,2.0,-0.2,4.52,0.0754,True,True
495,III,213.36599999999999,44531,46281,A,A,gds,gds,True,7.1241,4.7896,2.3344,-4.951,-4.676,0.275,226,188,-2.087,-2.09,0.002,6.839,6.853,1.5,-99.0,100.5,1.61,0.0268,True,True
496,III,213.3405,44681,54603,A,A,primer-uds-north,primer-uds-north,True,4.5812,5.6519,1.0707,-4.45,-5.075,0.626,129,244,-2.317,-1.647,-0.67,8.448,4.56,0.8,2.5,-1.7,4.74,0.0789,True,True
497,III,213.156,24464,28748,A,A,ceers-full,ceers-full,True,5.6554,4.753,0.9024,-4.238,-3.889,0.349,106,54,-2.141,-2.524,0.383,7.184,10.224,2.7,1.3,1.4,3.11,0.0519,True,True
498,I,213.132,28931,48686,A,A,primer-uds-south,primer-uds-south,True,7.9047,4.8439,3.0608,-3.918,-5.657,1.739,57,294,-2.686,-1.285,-1.401,11.871,3.267,2.8000000000000003,0.3,2.5,2.74,0.0457,False,False
499,III,213.019,41179,63106,A,A,ceers-full,ceers-full,True,7.2423,5.6557,1.5866,-4.229,-3.95,0.279,104,60,-1.38,-2.097,0.717,3.564,6.896,2.1,2.2,-0.1,4.79,0.0798,True,True
500,III,212.953,1544,22773,A,A,primer-uds-north,primer-uds-north,True,5.4635,4.4013,1.0622,-5.142,-4.533,0.609,252,153,-0.976,-1.65,0.675,2.456,4.573,1.0,1.3,-0.3,4.34,0.0724,True,True
501,I,212.931,47509,66511,A,A,primer-uds-south,primer-uds-south,True,5.6594,7.1308,1.4714,-4.995,-4.004,0.992,233,66,-1.689,-4.011,2.322,4.74,40.221,1.8,3.2,-1.4,2.78,0.0463,False,False
502,III,212.9305,29303,32147,A,A,gds,gds,True,5.986,4.6032,1.3827,-5.076,-4.148,0.928,245,93,-1.415,-1.802,0.387,3.681,5.257,2.0,2.6,-0.6,3.14,0.0524,True,True
503,III,212.783,24100,52141,A,A,primer-uds-north,primer-uds-north,True,4.9919,7.1301,2.1382,-4.26,-4.607,0.347,111,179,-2.062,-1.557,-0.506,6.681,4.194,1.3,3.0,-1.7,2.72,0.0454,True,True
504,III,212.7825,15257,23575,A,A,primer-uds-north,primer-uds-north,True,6.9201,5.6606,1.2595,-4.731,-4.518,0.213,201,146,-1.774,-2.624,0.85,5.126,11.212,1.3,2.0,-0.7,1.64,0.0274,True,True
505,III,212.733,32025,54143,A,A,primer-uds-north,primer-uds-north,True,4.0433,4.7315,0.6882,-4.381,-5.073,0.692,122,243,-2.02,-1.287,-0.733,6.426,3.272,0.6000000000000001,0.9,-0.3,2.3,0.0383,True,True
506,III,212.7215,1544,43932,A,A,primer-uds-north,primer-uds-north,True,5.4635,4.2354,1.2281,-5.142,-4.802,0.34,252,207,-0.976,-1.257,0.282,2.456,3.183,1.0,0.5,0.5,4.41,0.0735,True,True
507,I,212.349,52856,71037,A,A,primer-uds-north,primer-uds-north,True,6.3209,6.8495,0.5286,-5.287,-4.008,1.279,272,68,-0.498,-2.919,2.421,1.582,14.703,0.0,1.4,-1.4,4.14,0.0691,False,False
508,I,212.3445,12544,41913,A,A,ceers-full,ceers-full,True,4.5497,5.246,0.6963,-5.01,-3.38,1.63,235,39,-1.316,-3.476,2.16,3.36,24.568,0.4,2.3000000000000003,-1.9,3.69,0.0615,False,False
509,III,212.3215,35111,55902,A,A,primer-uds-north,primer-uds-north,True,5.6563,8.6704,3.0141,-4.472,-4.714,0.242,138,195,-2.382,-1.885,-0.497,8.971,5.677,1.9,2.9000000000000004,-1.0,5.0,0.0833,True,True
510,I,212.304,14086,18893,A,A,primer-cosmos-east,primer-cosmos-east,True,7.1273,4.8477,2.2796,-4.704,-5.582,0.877,192,292,-2.633,-0.496,-2.136,11.302,1.58,1.9,0.1,1.8,2.3,0.0383,False,False
511,III,212.277,36327,53667,A,A,primer-uds-north,primer-uds-north,True,7.8617,4.5639,3.2978,-5.129,-4.837,0.292,251,215,-1.766,-1.947,0.181,5.086,6.008,0.7000000000000001,0.9,-0.2,1.76,0.0294,True,True
512,III,212.227,1381,14419,A,A,primer-uds-north,primer-uds-north,True,5.6626,4.8168,0.8458,-5.288,-4.606,0.683,274,178,-2.364,-2.546,0.181,8.826,10.429,3.1,0.9,2.2,2.91,0.0486,True,True
513,I,212.0395,40642,52084,A,A,primer-cosmos-east,primer-cosmos-east,True,4.6343,7.0756,2.4413,-4.888,-3.658,1.229,221,45,-1.114,-2.985,1.871,2.791,15.637,0.8,1.6,-0.8,3.7,0.0617,False,False
514,III,211.9855,44446,47165,A,A,primer-cosmos-west,primer-cosmos-west,True,7.1315,5.2338,1.8977,-4.731,-4.313,0.419,202,117,-1.938,-1.957,0.019,5.959,6.063,2.8000000000000003,2.3000000000000003,0.5,2.13,0.0355,True,True
515,I,211.4125,42859,43932,A,A,primer-uds-north,primer-uds-north,True,6.5809,4.2354,2.3455,-4.421,-4.802,0.381,126,207,-3.653,-1.257,-2.396,28.92,3.183,1.2000000000000002,0.5,0.7,4.36,0.0726,False,False
516,III_weak,211.3525,30600,72633,A,A,ceers-full,ceers-full,True,4.0259,5.4434,1.4175,-4.874,-4.376,0.498,220,121,-2.492,-0.889,-1.603,9.925,2.267,0.6000000000000001,3.9,-3.3,4.81,0.0802,True,False
517,III,211.1085,9246,23054,A,A,ceers-full,ceers-full,True,4.6044,6.8683,2.2639,-4.241,-4.611,0.37,107,180,-2.256,-1.835,-0.421,7.989,5.421,1.0,2.1,-1.1,1.63,0.0272,True,True
518,III,210.6295,52141,62716,A,A,primer-uds-north,primer-uds-north,True,7.1301,5.3867,1.7433,-4.607,-4.396,0.211,179,125,-1.557,-1.719,0.163,4.194,4.871,3.0,1.2000000000000002,1.8,3.21,0.0535,True,True
519,I,210.61599999999999,18893,20187,A,A,primer-cosmos-east,primer-cosmos-east,True,4.8477,6.6082,1.7604,-5.582,-4.12,1.462,292,88,-0.496,-2.403,1.907,1.58,9.146,0.1,2.4000000000000004,-2.3,1.01,0.0168,False,False
520,I,210.601,42859,54143,A,A,primer-uds-north,primer-uds-north,True,6.5809,4.7315,1.8494,-4.421,-5.073,0.652,126,243,-3.653,-1.287,-2.366,28.92,3.272,1.2000000000000002,0.9,0.3,1.2,0.02,False,False
521,I,210.3555,39509,41129,A,A,gds,gds,True,4.2877,7.1334,2.8457,-5.284,-4.56,0.724,271,165,-1.762,-3.781,2.019,5.066,32.541,0.8,3.5,-2.7,0.56,0.0093,False,False
522,III,210.068,32402,46221,A,A,gds,gds,True,4.9424,4.0452,0.8972,-5.321,-4.548,0.772,276,158,-1.703,-1.771,0.069,4.797,5.111,3.2,-99.0,102.2,1.96,0.0327,True,True
523,III,209.804,47165,51657,A,A,primer-cosmos-west,primer-cosmos-west,True,5.2338,4.7941,0.4396,-4.313,-4.096,0.217,117,83,-1.957,-2.491,0.534,6.063,9.913,2.3000000000000003,1.4,0.9,2.75,0.0458,True,True
524,III,209.71550000000002,43445,51855,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6969,4.6512,1.0457,-5.795,-4.198,1.596,295,101,-1.457,-1.48,0.023,3.826,3.907,0.5,0.7000000000000001,-0.2,3.73,0.0621,True,True
525,III,209.62,9227,16083,A,A,primer-cosmos-east,primer-cosmos-east,True,5.7139,4.5779,1.136,-4.724,-4.498,0.226,200,142,-1.243,-2.059,0.816,3.141,6.663,0.0,1.0,-1.0,3.35,0.0559,True,True
526,III,209.57,16999,24100,A,A,primer-uds-north,primer-uds-north,True,4.2059,4.9919,0.786,-4.034,-4.26,0.226,72,111,-2.982,-2.062,-0.92,15.582,6.681,1.1,1.3,-0.2,3.96,0.066,True,True
527,III,209.469,46914,51657,A,A,primer-cosmos-west,primer-cosmos-west,True,5.6548,4.7941,0.8606,-4.978,-4.096,0.882,231,83,-2.488,-2.491,0.002,9.891,9.913,2.0,1.4,0.6,2.61,0.0435,True,True
528,III_weak,209.464,14381,14605,A,A,gds,gds,True,5.4444,6.9281,1.4836,-5.162,-4.925,0.237,256,223,-1.944,-0.742,-1.202,5.992,1.981,3.0,2.5,0.5,2.41,0.0402,True,False
529,I_conflict,209.446,23868,32147,A,A,gds,gds,True,8.9276,4.6032,4.3244,-5.234,-4.148,1.086,261,93,-2.742,-1.802,-0.94,12.498,5.257,2.6,2.6,0.0,3.64,0.0606,False,True
530,I,209.39700000000002,28931,30157,A,A,primer-uds-south,primer-uds-south,True,7.9047,4.7269,3.1778,-3.918,-5.539,1.621,57,289,-2.686,-1.325,-1.362,11.871,3.387,2.8000000000000003,0.2,2.6,0.71,0.0119,False,False
531,III,209.351,42093,71321,A,A,ceers-full,ceers-full,True,6.4459,7.1293,0.6834,-3.857,-4.476,0.62,52,139,-3.058,-2.347,-0.71,16.711,8.687,1.7000000000000002,1.9,-0.2,2.92,0.0487,True,True
532,III,209.303,22773,54143,A,A,primer-uds-north,primer-uds-north,True,4.4013,4.7315,0.3302,-4.533,-5.073,0.54,153,243,-1.65,-1.287,-0.363,4.573,3.272,1.3,0.9,0.4,3.5,0.0584,True,True
533,III,209.23200000000003,10404,29110,A,A,primer-uds-north,primer-uds-north,True,5.656,7.1288,1.4728,-3.982,-4.845,0.863,64,216,-3.181,-2.856,-0.325,18.724,13.874,2.2,2.4000000000000004,-0.2,2.96,0.0493,True,True
534,III_weak,209.23,30520,55634,A,A,primer-uds-south,primer-uds-south,True,5.3498,6.8798,1.53,-5.029,-4.423,0.606,237,127,-1.513,-0.551,-0.962,4.028,1.661,0.9,0.1,0.8,2.93,0.0488,True,False
535,III,209.19449999999998,15257,46085,A,A,primer-uds-north,primer-uds-north,True,6.9201,4.7858,2.1343,-4.731,-3.966,0.766,201,61,-1.774,-1.958,0.184,5.126,6.071,1.3,1.3,0.0,3.31,0.0551,True,True
536,III,209.117,30520,57494,A,A,primer-uds-south,primer-uds-south,True,5.3498,4.024,1.3258,-5.029,-4.008,1.021,237,67,-1.513,-1.784,0.272,4.028,5.173,0.9,1.6,-0.7,3.21,0.0535,True,True
537,III,209.1165,20187,31770,A,A,primer-cosmos-east,primer-cosmos-east,True,6.6082,5.7791,0.8291,-4.12,-3.574,0.546,88,42,-2.403,-2.609,0.206,9.146,11.061,2.4000000000000004,1.9,0.5,3.27,0.0545,True,True
538,III,209.09650000000002,51657,53626,A,A,primer-cosmos-west,primer-cosmos-west,True,4.7941,5.6552,0.8611,-4.096,-4.572,0.476,83,168,-2.491,-1.753,-0.738,9.913,5.024,1.4,2.7,-1.3,1.4,0.0233,True,True
539,III,209.039,20897,36985,A,A,ceers-full,ceers-full,True,4.5331,5.6537,1.1206,-3.869,-4.161,0.291,53,97,-3.669,-2.899,-0.77,29.349,14.441,1.3,2.0,-0.7,4.17,0.0695,True,True
540,III,208.91699999999997,32237,57469,A,A,primer-uds-north,primer-uds-north,True,4.6122,5.668,1.0558,-3.896,-4.467,0.571,55,135,-2.263,-1.644,-0.619,8.04,4.547,1.2000000000000002,3.1,-1.9,2.54,0.0423,True,True
541,III,208.608,57469,71893,A,A,primer-uds-north,primer-uds-north,True,5.668,6.4292,0.7612,-4.467,-5.236,0.768,135,262,-1.644,-1.562,-0.083,4.547,4.213,3.1,1.7000000000000002,1.4,4.76,0.0793,True,True
542,III_weak,208.3785,22388,29303,A,A,gds,gds,True,7.1819,5.986,1.1959,-2.943,-5.076,2.133,38,245,-0.785,-1.415,0.629,2.062,3.681,0.2,2.0,-1.8,2.04,0.034,True,False
543,III,208.29899999999998,52581,59568,A,A,primer-uds-south,primer-uds-south,True,6.167,8.9016,2.7346,-4.052,-4.592,0.541,74,173,-2.502,-2.381,-0.121,10.017,8.958,1.3,2.7,-1.4,2.14,0.0357,True,True
544,III_weak,208.036,48498,50325,A,A,primer-cosmos-east,primer-cosmos-east,True,4.4533,6.4277,1.9744,-5.641,-5.032,0.609,293,238,-1.883,-1.079,-0.803,5.663,2.702,0.9,0.1,0.8,1.48,0.0246,True,False
545,III,207.8175,20187,31668,A,A,primer-cosmos-east,primer-cosmos-east,True,6.6082,5.6077,1.0005,-4.12,-3.833,0.287,88,51,-2.403,-2.687,0.284,9.146,11.876,2.4000000000000004,1.6,0.8,3.32,0.0553,True,True
546,III_weak,207.5275,33898,55634,A,A,primer-uds-south,primer-uds-south,True,4.5453,6.8798,2.3345,-5.24,-4.423,0.817,264,127,-1.111,-0.551,-0.56,2.782,1.661,1.2000000000000002,0.1,1.1,2.51,0.0419,True,False
547,III_weak,207.42600000000002,8559,44053,A,A,primer-uds-north,primer-uds-north,True,7.9365,5.4381,2.4984,-4.517,-4.897,0.38,145,222,-1.912,-2.683,0.771,5.818,11.832,3.9,2.5,1.4,3.73,0.0621,True,False
548,I_conflict,207.336,23868,46221,A,A,gds,gds,True,8.9276,4.0452,4.8824,-5.234,-4.548,0.685,261,158,-2.742,-1.771,-0.971,12.498,5.111,2.6,-99.0,101.6,2.64,0.0441,False,True
549,III,207.186,31770,45179,A,A,primer-cosmos-east,primer-cosmos-east,True,5.7791,7.1055,1.3264,-3.574,-4.157,0.583,42,96,-2.609,-2.113,-0.496,11.061,7.004,1.9,1.9,0.0,4.04,0.0673,True,True
550,III,207.106,28748,71321,A,A,ceers-full,ceers-full,True,4.753,7.1293,2.3764,-3.889,-4.476,0.587,54,139,-2.524,-2.347,-0.177,10.224,8.687,1.3,1.9,-0.6,4.33,0.0721,True,True
551,III_weak,207.068,30600,59626,A,A,ceers-full,ceers-full,True,4.0259,6.3671,2.3412,-4.874,-4.189,0.685,220,100,-2.492,-1.364,-1.128,9.925,3.511,0.6000000000000001,0.9,-0.3,4.66,0.0776,True,False
552,III_weak,207.001,21037,22483,A,A,primer-cosmos-west,primer-cosmos-west,True,4.4761,7.1355,2.6594,-4.619,-4.222,0.397,181,102,-3.064,-1.86,-1.204,16.813,5.548,0.7000000000000001,2.7,-2.0,2.05,0.0342,True,False
553,III,206.779,31645,32025,A,A,primer-uds-north,primer-uds-north,True,4.7559,4.0433,0.7126,-4.758,-4.381,0.378,203,122,-1.725,-2.02,0.295,4.897,6.426,0.8,0.6000000000000001,0.2,3.69,0.0614,True,True
554,III,206.305,9227,16408,A,A,primer-cosmos-east,primer-cosmos-east,True,5.7139,4.5749,1.139,-4.724,-4.505,0.219,200,144,-1.243,-1.996,0.753,3.141,6.287,0.0,1.1,-1.1,3.61,0.0602,True,True
555,I,206.1765,2981,41129,A,A,gds,gds,True,4.8122,7.1334,2.3211,-5.367,-4.56,0.807,283,165,-1.738,-3.781,2.043,4.956,32.541,2.2,3.5,-1.3,4.92,0.0819,False,False
556,I,206.1605,43445,52084,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6969,7.0756,1.3787,-5.795,-3.658,2.136,295,45,-1.457,-2.985,1.528,3.826,15.637,0.5,1.6,-1.1,3.41,0.0568,False,False
557,III,205.83700000000002,31668,45179,A,A,primer-cosmos-east,primer-cosmos-east,True,5.6077,7.1055,1.4978,-3.833,-4.157,0.324,51,96,-2.687,-2.113,-0.573,11.876,7.004,1.6,1.9,-0.3,3.98,0.0664,True,True
558,III,205.778,5434,32402,A,A,gds,gds,True,4.1073,4.9424,0.8352,-4.431,-5.321,0.89,128,276,-2.133,-1.703,-0.431,7.135,4.797,1.3,3.2,-1.9,3.75,0.0625,True,True
559,III,205.4665,51514,52124,A,A,primer-cosmos-east,primer-cosmos-east,True,4.4367,4.8338,0.3971,-4.118,-4.691,0.572,87,190,-2.14,-1.893,-0.247,7.18,5.717,1.9,1.2000000000000002,0.7,4.2,0.07,True,True
560,III,205.4325,57051,71267,A,A,ceers-full,ceers-full,True,5.6681,7.5175,1.8495,-4.281,-4.649,0.368,113,184,-1.94,-1.507,-0.433,5.971,4.008,2.3000000000000003,3.1,-0.8,1.79,0.0298,True,True
561,I,205.3855,19416,42859,A,A,primer-uds-north,primer-uds-north,True,5.4332,6.5809,1.1477,-5.405,-4.421,0.984,285,126,-1.38,-3.653,2.273,3.565,28.92,1.9,1.2000000000000002,0.7,2.28,0.038,False,False
562,I,205.3735,25633,33230,A,A,primer-cosmos-west,primer-cosmos-west,True,7.0511,4.7522,2.2989,-4.166,-5.169,1.003,98,257,-3.131,-1.215,-1.916,17.88,3.062,3.2,0.2,3.0,2.35,0.0392,False,False
563,III,205.305,21488,52581,A,A,primer-uds-south,primer-uds-south,True,5.414,6.167,0.753,-3.634,-4.052,0.417,44,74,-2.732,-2.502,-0.23,12.377,10.017,2.1,1.3,0.8,3.3,0.0551,True,True
