field,obsid,s_ra,s_dec
primer-uds-north,238309423,34.36027625,-5.130755555555538
primer-uds-north,238309424,34.36027625,-5.130755555555538
primer-uds-north,109734219,34.36027625,-5.130755555555538
primer-uds-north,109734188,34.36027625,-5.130755555555538
primer-uds-north,377145234,34.36027625,-5.130755555555538
primer-uds-north,377145233,34.36027625,-5.130755555555538
primer-uds-north,110500481,34.35498208333333,-5.110880555555582
primer-uds-north,110478024,34.35498208333333,-5.110880555555582
primer-uds-north,111628814,34.32764583333333,-5.130902777777806
primer-uds-north,111628975,34.32764583333333,-5.130902777777806
primer-uds-north,378651301,34.397484166666665,-5.135116666666647
primer-uds-north,378651303,34.397484166666665,-5.135116666666647
primer-uds-north,378651302,34.397484166666665,-5.135116666666647
primer-uds-north,378651304,34.397484166666665,-5.135116666666647
primer-uds-north,378637371,34.410748749999996,-5.129663888888899
primer-uds-north,378637373,34.410748749999996,-5.129663888888899
primer-uds-north,378637375,34.410748749999996,-5.129663888888899
primer-uds-north,111184671,34.43083333333333,-5.15033055555557
primer-uds-north,111184670,34.43083333333333,-5.15033055555557
primer-uds-north,378637372,34.410748749999996,-5.129663888888899
primer-uds-north,378637374,34.410748749999996,-5.129663888888899
primer-uds-north,378637376,34.410748749999996,-5.129663888888899
primer-uds-north,238309438,34.37777625,-5.271144444444417
primer-uds-north,183452031,34.37777625,-5.271144444444417
primer-uds-north,238309451,34.37777625,-5.271144444444417
primer-uds-north,183107238,34.37777625,-5.271144444444417
primer-uds-north,308398448,34.37777625,-5.271144444444417
primer-uds-north,300638863,34.37777625,-5.271144444444417
primer-uds-north,308441563,34.37777625,-5.271144444444417
primer-uds-north,300638799,34.37777625,-5.271144444444417
primer-uds-north,107706113,34.26767708333333,-5.151063888888871
primer-uds-north,107700750,34.26767708333333,-5.151063888888871
primer-uds-north,205250500,34.26238541666667,-5.131188888888914
primer-uds-north,205250516,34.26238541666667,-5.131188888888914
primer-uds-north,222759543,34.33983583333333,-5.25140555555555
primer-uds-north,222758563,34.33983583333333,-5.25140555555555
primer-uds-north,163218143,34.35416333333333,-5.270908333333352
primer-uds-north,163218148,34.35416333333333,-5.270908333333352
primer-uds-north,87768088,34.34513875,-5.271291666666684
primer-uds-north,87768077,34.34513875,-5.271291666666684
primer-uds-north,220850138,34.31247375,-5.2714194444444615
primer-uds-north,220850136,34.31247375,-5.2714194444444615
primer-uds-north,365512119,34.264425833333334,-5.0962638888888705
primer-uds-north,365764256,34.264425833333334,-5.0962638888888705
primer-uds-north,378645770,34.270712083333336,-5.217672222222234
primer-uds-north,378645768,34.270712083333336,-5.217672222222234
primer-uds-north,378645769,34.270712083333336,-5.217672222222234
primer-uds-north,306669618,34.46896625,-5.251758333333328
primer-uds-north,306669620,34.46896625,-5.251758333333328
primer-uds-north,183628628,34.35794666666666,-5.290783333333309
primer-uds-north,163879721,34.35794666666666,-5.290783333333309
primer-uds-north,308293222,34.44251416666667,-5.271166666666659
primer-uds-north,308293146,34.44251416666667,-5.271166666666659
primer-uds-north,87767785,34.35043333333333,-5.291166666666641
primer-uds-north,87767809,34.35043333333333,-5.291166666666641
primer-uds-north,87767284,34.44305125,-5.270847222222244
primer-uds-north,87767285,34.44305125,-5.270847222222244
primer-uds-north,163480691,34.443832083333334,-5.270674999999983
primer-uds-north,163480635,34.443832083333334,-5.270674999999983
primer-cosmos-east,199675937,150.23590083333335,2.422936111111111
primer-cosmos-east,141181171,150.18048124999999,2.400672222222222
primer-cosmos-east,141181220,150.18048124999999,2.400672222222222
primer-cosmos-east,261926212,150.03442375,2.1884416666666664
primer-cosmos-east,262051262,150.03442375,2.1884416666666664
primer-cosmos-east,368593389,150.23590083333335,2.422936111111111
primer-cosmos-east,368593391,150.23590083333335,2.422936111111111
primer-cosmos-east,250360912,150.18048124999999,2.400672222222222
primer-cosmos-east,250360913,150.18048124999999,2.400672222222222
primer-cosmos-east,266463135,150.18048124999999,2.400672222222222
primer-cosmos-east,266463136,150.18048124999999,2.400672222222222
primer-cosmos-east,266463137,150.18048124999999,2.400672222222222
primer-cosmos-east,266463138,150.18048124999999,2.400672222222222
primer-cosmos-east,250360918,150.18048124999999,2.400672222222222
primer-cosmos-east,250360919,150.18048124999999,2.400672222222222
primer-cosmos-east,266463139,150.18048124999999,2.400672222222222
primer-cosmos-east,266463140,150.18048124999999,2.400672222222222
primer-cosmos-east,266463141,150.18048124999999,2.400672222222222
primer-cosmos-east,266463142,150.18048124999999,2.400672222222222
primer-cosmos-east,214932792,150.15239791666667,2.3569
primer-cosmos-east,214932794,150.15239791666667,2.3569
primer-cosmos-east,372524111,150.07151416666667,2.2635805555555555
primer-cosmos-east,109374093,150.07151416666667,2.2635805555555555
primer-cosmos-east,372523982,150.07151416666667,2.2635805555555555
primer-cosmos-east,109351529,150.07151416666667,2.2635805555555555
primer-cosmos-east,214858246,150.18130875,2.3445444444444448
primer-cosmos-east,214893282,150.18130875,2.3445444444444448
primer-cosmos-east,200878777,150.20173624999998,2.4353583333333337
primer-cosmos-east,266463447,150.18048124999999,2.400672222222222
primer-cosmos-east,266463450,150.18048124999999,2.400672222222222
primer-cosmos-east,266463451,150.18048124999999,2.400672222222222
primer-cosmos-east,266463454,150.18048124999999,2.400672222222222
primer-cosmos-east,262817424,150.17105083333334,2.13875
primer-cosmos-east,250361152,150.18048124999999,2.400672222222222
primer-cosmos-east,266463448,150.18048124999999,2.400672222222222
primer-cosmos-east,250361158,150.18048124999999,2.400672222222222
primer-cosmos-east,266463452,150.18048124999999,2.400672222222222
primer-cosmos-east,250361153,150.18048124999999,2.400672222222222
primer-cosmos-east,266463449,150.18048124999999,2.400672222222222
primer-cosmos-east,250361159,150.18048124999999,2.400672222222222
primer-cosmos-east,266463453,150.18048124999999,2.400672222222222
primer-cosmos-east,266463431,150.18048124999999,2.400672222222222
primer-cosmos-east,266463434,150.18048124999999,2.400672222222222
primer-cosmos-east,266463435,150.18048124999999,2.400672222222222
primer-cosmos-east,266463438,150.18048124999999,2.400672222222222
primer-cosmos-east,250361136,150.18048124999999,2.400672222222222
primer-cosmos-east,266463432,150.18048124999999,2.400672222222222
primer-cosmos-east,250361142,150.18048124999999,2.400672222222222
primer-cosmos-east,266463436,150.18048124999999,2.400672222222222
primer-cosmos-east,250361137,150.18048124999999,2.400672222222222
primer-cosmos-east,266463433,150.18048124999999,2.400672222222222
primer-cosmos-east,250361143,150.18048124999999,2.400672222222222
primer-cosmos-east,266463437,150.18048124999999,2.400672222222222
primer-cosmos-east,262817423,150.17105083333334,2.13875
primer-cosmos-east,250361105,150.18048124999999,2.400672222222222
primer-cosmos-east,266463367,150.18048124999999,2.400672222222222
primer-cosmos-east,250361111,150.18048124999999,2.400672222222222
primer-cosmos-east,266463381,150.18048124999999,2.400672222222222
primer-cosmos-east,250361104,150.18048124999999,2.400672222222222
primer-cosmos-east,266463364,150.18048124999999,2.400672222222222
primer-cosmos-east,250361110,150.18048124999999,2.400672222222222
primer-cosmos-east,266463379,150.18048124999999,2.400672222222222
primer-cosmos-east,266463362,150.18048124999999,2.400672222222222
primer-cosmos-east,266463369,150.18048124999999,2.400672222222222
primer-cosmos-east,266463376,150.18048124999999,2.400672222222222
primer-cosmos-east,266463383,150.18048124999999,2.400672222222222
primer-cosmos-east,368832630,150.23590083333335,2.422936111111111
primer-cosmos-east,368832629,150.23590083333335,2.422936111111111
primer-cosmos-east,300768818,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768916,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768798,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768896,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768779,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768861,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768762,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768843,150.11348291666667,2.3196416666666666
primer-cosmos-east,199454373,150.27006541666668,2.410511111111111
primer-cosmos-east,127234071,150.0685883333333,2.1760166666666665
primer-cosmos-east,266463055,150.18048124999999,2.400672222222222
primer-cosmos-east,266463058,150.18048124999999,2.400672222222222
primer-cosmos-east,266463059,150.18048124999999,2.400672222222222
primer-cosmos-east,266463062,150.18048124999999,2.400672222222222
primer-cosmos-east,266463216,150.18048124999999,2.400672222222222
primer-cosmos-east,266463219,150.18048124999999,2.400672222222222
primer-cosmos-east,266463220,150.18048124999999,2.400672222222222
primer-cosmos-east,266463223,150.18048124999999,2.400672222222222
primer-cosmos-east,250360832,150.18048124999999,2.400672222222222
primer-cosmos-east,266463056,150.18048124999999,2.400672222222222
primer-cosmos-east,250360838,150.18048124999999,2.400672222222222
primer-cosmos-east,266463060,150.18048124999999,2.400672222222222
primer-cosmos-east,250360992,150.18048124999999,2.400672222222222
primer-cosmos-east,266463217,150.18048124999999,2.400672222222222
primer-cosmos-east,250360998,150.18048124999999,2.400672222222222
primer-cosmos-east,266463221,150.18048124999999,2.400672222222222
primer-cosmos-east,250360833,150.18048124999999,2.400672222222222
primer-cosmos-east,266463057,150.18048124999999,2.400672222222222
primer-cosmos-east,250360839,150.18048124999999,2.400672222222222
primer-cosmos-east,266463061,150.18048124999999,2.400672222222222
primer-cosmos-east,250360993,150.18048124999999,2.400672222222222
primer-cosmos-east,266463218,150.18048124999999,2.400672222222222
primer-cosmos-east,250360999,150.18048124999999,2.400672222222222
primer-cosmos-east,266463222,150.18048124999999,2.400672222222222
primer-cosmos-east,127234055,150.03442375,2.1884416666666664
