id,field,z_phot,muv,lbol,av_catalog,re_phys_pc,logMstar_uv_method,logMstar_lbol_method,logMstar_color_corrected,logMstar_best,logMstar_err,method,n_bands_used
41179,ceers-full,7.24225,-19.62426284772767,45.66095629776442,2.1,57.4217396408689,10.45,-32.22,10.45,10.45,0.3,M_UV_relation,0
41913,ceers-full,5.2459974,-18.93364999102481,45.98620337645674,2.3000000000000003,61.63378721184913,9.78,-32.22,9.78,9.78,0.3,M_UV_relation,0
42093,ceers-full,6.445882,-18.03659712011666,45.65235383989167,1.7000000000000002,56.23605433097119,9.62,-32.22,9.62,9.62,0.3,M_UV_relation,0
47021,ceers-full,8.0230665,-17.42141601885089,44.327213274364425,0.9,65.36525512787183,9.66,-32.24,9.66,9.66,0.3,M_UV_relation,0
48983,ceers-full,7.136761,-19.866323724443145,46.551223114205406,2.7,51.93081889094175,10.54,-32.22,10.54,10.54,0.3,M_UV_relation,0
49360,ceers-full,4.737312,-18.554953137583333,44.23643349090222,0.8,68.91183834860217,9.52,-32.24,9.52,9.52,0.3,M_UV_relation,0
55490,ceers-full,7.1493306,-20.138818844791903,46.63980570648944,2.7,52.387914284993016,10.66,-32.22,10.66,10.66,0.3,M_UV_relation,0
57051,ceers-full,5.668079,-18.690260143509484,45.15516781768882,2.3000000000000003,64.39483006557025,9.75,-32.23,9.75,9.75,0.3,M_UV_relation,0
58630,ceers-full,4.546808,-18.129511927632997,44.422771071552766,0.9,68.52601108185242,9.3,-32.24,9.3,9.3,0.3,M_UV_relation,0
59162,ceers-full,7.84113,-19.704146493664407,46.70968952272917,3.9,53.05169831149987,10.6,-32.21,10.6,10.6,0.3,M_UV_relation,0
59626,ceers-full,6.367115,-19.676824018197404,44.80456009383078,0.9,57.40807305352339,10.31,-32.23,10.31,10.31,0.3,M_UV_relation,0
60774,ceers-full,5.2847676,-18.568887700928578,45.28616927373197,2.2,62.041777733201435,9.63,-32.23,9.63,9.63,0.3,M_UV_relation,0
61323,ceers-full,7.1270275,-17.347349668703913,45.2046221571001,1.7000000000000002,61.552384141078534,9.45,-32.23,9.45,9.45,0.3,M_UV_relation,0
63106,ceers-full,5.655657,-19.256665241290968,45.457963521872294,2.2,59.95507577844757,9.99,-32.23,9.99,9.99,0.3,M_UV_relation,0
67137,ceers-full,7.4964614,-20.57834587468009,46.64423522365417,3.9,62.40130278603175,10.91,-32.22,10.91,10.91,0.3,M_UV_relation,0
68816,ceers-full,4.532283,-16.2031795340367,44.23968215893924,0.7000000000000001,70.80639597093622,8.47,-32.24,8.47,8.47,0.3,M_UV_relation,0
70681,ceers-full,7.9008055,-18.974007494458625,46.47864504357207,3.8,56.09205306411676,10.3,-32.22,10.3,10.3,0.3,M_UV_relation,0
71267,ceers-full,7.5175495,-18.567229995452184,45.796405402471734,3.1,59.90658516540552,10.05,-32.22,10.05,10.05,0.3,M_UV_relation,0
71321,ceers-full,7.12932,-17.670248617420484,45.23573342379128,1.9,63.36040081081617,9.59,-32.23,9.59,9.59,0.3,M_UV_relation,0
71380,ceers-full,7.1262627,-18.882355067053595,46.33877245542458,3.4000000000000004,54.160871476723834,10.11,-32.22,10.11,10.11,0.3,M_UV_relation,0
72633,ceers-full,5.4433956,-19.518758894354377,46.12442192696729,3.9,67.06142219180622,10.07,-32.22,10.07,10.07,0.3,M_UV_relation,0
72956,ceers-full,8.90418,-18.215226034156057,45.65800555923522,2.1,58.17583598902204,10.16,-32.22,10.16,10.16,0.3,M_UV_relation,0
73890,ceers-full,5.6603184,-18.243861937398655,45.21064685137754,3.0,76.25109483703007,9.56,-32.23,9.56,9.56,0.3,M_UV_relation,0
7242,primer-cosmos-west,5.6587553,-18.66673337279668,44.904442146034825,2.0,166.7174549082523,9.74,-32.23,9.74,9.74,0.3,M_UV_relation,0
8118,primer-cosmos-west,5.642418,-18.833064082469804,45.86877088254659,3.9,124.26756861408884,9.81,-32.22,9.81,9.81,0.3,M_UV_relation,0
13074,primer-cosmos-west,5.214783,-19.42674007854113,45.89264614167283,2.5,79.73062908385373,9.98,-32.22,9.98,9.98,0.3,M_UV_relation,0
13666,primer-cosmos-west,5.2880526,-18.63199547395392,44.92499404868008,1.4,115.84346480281005,9.66,-32.23,9.66,9.66,0.3,M_UV_relation,0
15233,primer-cosmos-west,4.9860177,-17.884340167219005,44.57811011339857,0.8,92.76965482447171,9.28,-32.23,9.28,9.28,0.3,M_UV_relation,0
16152,primer-cosmos-west,5.7143655,-20.602758286075225,44.632015296764145,0.0,165.23186775265145,10.58,-32.23,10.58,10.58,0.3,M_UV_relation,0
18540,primer-cosmos-west,8.933716,-18.44357128546024,45.647219283664235,1.7000000000000002,105.95344761289827,10.27,-32.22,10.27,10.27,0.3,M_UV_relation,0
21037,primer-cosmos-west,4.4761047,-16.294338015678914,44.30389823765816,0.7000000000000001,99.04435864493556,8.5,-32.24,8.5,8.5,0.3,M_UV_relation,0
21620,primer-cosmos-west,8.087144,-19.353267915806512,46.67028967182568,3.7,88.58474492387647,10.5,-32.21,10.5,10.5,0.3,M_UV_relation,0
22379,primer-cosmos-west,5.734882,-17.561898788827357,44.6734537338996,0.9,115.64072090795396,9.28,-32.23,9.28,9.28,0.3,M_UV_relation,0
22483,primer-cosmos-west,7.1354685,-19.278248675968435,46.02055555285152,2.7,62.23396554893685,10.29,-32.22,10.29,10.29,0.3,M_UV_relation,0
22702,primer-cosmos-west,5.4311905,-19.493345197806313,46.060762945281866,2.2,102.77250209722588,10.05,-32.22,10.05,10.05,0.3,M_UV_relation,0
25633,primer-cosmos-west,7.051051,-18.84724525692404,46.34215799026494,3.2,76.65286982916518,10.08,-32.22,10.08,10.08,0.3,M_UV_relation,0
26495,primer-cosmos-west,5.019624,-18.39281792602413,45.19626955507923,1.8,70.6762484733498,9.5,-32.23,9.5,9.5,0.3,M_UV_relation,0
28491,primer-cosmos-west,5.5851088,-18.859319987185717,45.3842027117874,2.0,79.56627634394629,9.81,-32.23,9.81,9.81,0.3,M_UV_relation,0
28500,primer-cosmos-west,5.42897,-17.950203707308827,45.4485849337121,2.8000000000000003,75.64182650308877,9.39,-32.23,9.39,9.39,0.3,M_UV_relation,0
29372,primer-cosmos-west,5.3858166,-17.996768557475626,44.786274419203366,2.2,93.85081376475873,9.4,-32.23,9.4,9.4,0.3,M_UV_relation,0
29568,primer-cosmos-west,4.3603206,-17.5992457981102,43.789493448833255,0.4,94.09757458873746,9.04,-32.24,9.04,9.04,0.3,M_UV_relation,0
30073,primer-cosmos-west,6.004138,-17.97889680301398,44.683014487718935,1.0,87.42338542566257,9.51,-32.23,9.51,9.51,0.3,M_UV_relation,0
30145,primer-cosmos-west,5.6646295,-18.653306715944915,44.970855688800285,2.0,149.96190821601851,9.74,-32.23,9.74,9.74,0.3,M_UV_relation,0
31319,primer-cosmos-west,6.3338737,-20.343276521749207,46.08403300701785,2.8000000000000003,130.8597623509306,10.59,-32.22,10.59,10.59,0.3,M_UV_relation,0
31661,primer-cosmos-west,4.4626226,-18.664583184144607,44.443539385589816,0.5,122.35028415048204,9.51,-32.24,9.51,9.51,0.3,M_UV_relation,0
32535,primer-cosmos-west,5.7491784,-20.23449898226678,44.85069335495111,0.6000000000000001,81.89057825756488,10.43,-32.23,10.43,10.43,0.3,M_UV_relation,0
33230,primer-cosmos-west,4.7521863,-17.610550643974662,43.693428344647614,0.2,102.99714741537544,9.12,-32.24,9.12,9.12,0.3,M_UV_relation,0
36162,primer-cosmos-west,6.410995,-19.568531734170097,44.8032159489097,0.5,133.52391874334594,10.27,-32.23,10.27,10.27,0.3,M_UV_relation,0
42656,primer-cosmos-west,5.6853933,-19.814370654938724,46.260879845907674,3.9,137.01309082108364,10.24,-32.22,10.24,10.24,0.3,M_UV_relation,0
43505,primer-cosmos-west,4.6754527,-18.2588908483399,44.40569348772632,0.8,109.58652388039856,9.38,-32.24,9.38,9.38,0.3,M_UV_relation,0
44446,primer-cosmos-west,7.1314645,-19.331198491900594,46.04366739900886,2.8000000000000003,108.95758931533,10.31,-32.22,10.31,10.31,0.3,M_UV_relation,0
46914,primer-cosmos-west,5.654763,-17.61938173389842,44.823224277439394,2.0,113.61711005427549,9.29,-32.23,9.29,9.29,0.3,M_UV_relation,0
47165,primer-cosmos-west,5.2337646,-19.56849778809148,45.58907930902709,2.3000000000000003,103.36663149948336,10.05,-32.23,10.05,10.05,0.3,M_UV_relation,0
50300,primer-cosmos-west,5.6961317,-16.937448374384132,43.58742661508635,0.5,150.08269342514518,9.01,-32.24,9.01,9.01,0.3,M_UV_relation,0
50560,primer-cosmos-west,5.145899,-17.434969123823286,44.02199696159596,0.4,90.27714609838806,9.11,-32.24,9.11,9.11,0.3,M_UV_relation,0
51657,primer-cosmos-west,4.7941256,-18.177887340483117,45.05871301605328,1.4,80.07213167615052,9.37,-32.23,9.37,9.37,0.3,M_UV_relation,0
53626,primer-cosmos-west,5.6552424,-19.186536846909597,45.57896579001651,2.7,104.23609330794172,9.96,-32.23,9.96,9.96,0.3,M_UV_relation,0
54067,primer-cosmos-west,5.6564326,-16.420082718361684,43.93581869286534,0.5,129.6591627943341,8.78,-32.24,8.78,8.78,0.3,M_UV_relation,0
55716,primer-cosmos-west,4.438319,-19.52827176095274,45.390466503432926,1.9,100.42275056217166,9.88,-32.23,9.88,9.88,0.3,M_UV_relation,0
1498,gds,4.6633844,-17.049821320811702,44.65977117659234,1.4,72.06188418034793,8.86,-32.23,8.86,8.86,0.3,M_UV_relation,0
2981,gds,4.812245,-17.119080989513087,44.37364990645199,2.2,114.38734607843122,8.92,-32.24,8.92,8.92,0.3,M_UV_relation,0
3099,gds,5.458368,-17.658893012927248,45.20457772118289,2.7,72.9155545516948,9.27,-32.23,9.27,9.27,0.3,M_UV_relation,0
5434,gds,4.1072683,-18.946371215886643,44.94851852130473,1.3,136.0695016042382,9.57,-32.23,9.57,9.57,0.3,M_UV_relation,0
14381,gds,5.44441,-17.44868786957614,44.89864386032916,3.0,88.22444685490777,9.18,-32.23,9.18,9.18,0.3,M_UV_relation,0
14605,gds,6.9280586,-19.97840232877564,45.84859830829467,2.5,128.9742241066029,10.55,-32.22,10.55,10.55,0.3,M_UV_relation,0
16053,gds,6.9018006,-18.191378539819407,44.70670447360516,2.0,86.51278858910993,9.77,-32.23,9.77,9.77,0.3,M_UV_relation,0
18537,gds,4.277338,-19.2491480903356,44.77376444193816,1.2000000000000002,154.45247659225817,9.73,-32.23,9.73,9.73,0.3,M_UV_relation,0
22388,gds,7.18187,-21.46969717312723,45.50598900738535,0.2,51.617490766362046,11.24,-32.23,11.24,11.24,0.3,M_UV_relation,0
23636,gds,7.1328406,-18.779453627405857,46.33178161457944,3.6,89.84060419451028,10.07,-32.22,10.07,10.07,0.3,M_UV_relation,0
23868,gds,8.927632,-16.9465346152692,45.62526719999491,2.6,90.87535500375512,9.62,-32.22,9.62,9.62,0.3,M_UV_relation,0
29303,gds,5.9859753,-18.787360303492225,44.98574256798618,2.0,130.32232675744794,9.86,-32.23,9.86,9.86,0.3,M_UV_relation,0
32147,gds,4.603241,-19.883185083381356,45.7729189121379,2.6,104.21841686410552,10.06,-32.22,10.06,10.06,0.3,M_UV_relation,0
32402,gds,4.9424376,-17.55627291774137,44.92718725893017,3.2,111.45010928298252,9.13,-32.23,9.13,9.13,0.3,M_UV_relation,0
35367,gds,5.489472,-17.944753498605117,45.59199988609956,2.3000000000000003,63.37424282665511,9.4,-32.23,9.4,9.4,0.3,M_UV_relation,0
37563,gds,5.7131443,-18.666576660057665,43.904283928329654,0.1,144.5669394743945,9.75,-32.24,9.75,9.75,0.3,M_UV_relation,0
39509,gds,4.2876787,-17.16212068916509,43.72145460030377,0.8,107.79712363249556,8.83,-32.24,8.83,8.83,0.3,M_UV_relation,0
41129,gds,7.1333513,-16.800949680769378,46.08495781623427,3.5,68.40762320978455,9.22,-32.22,9.22,9.22,0.3,M_UV_relation,0
44531,gds,7.1240745,-17.667782455855026,44.98624702423059,1.5,98.9594943584412,9.59,-32.23,9.59,9.59,0.3,M_UV_relation,0
45202,gds,7.1312556,-17.686303160663435,45.942718721023134,2.8000000000000003,89.27772862245315,9.6,-32.22,9.6,9.6,0.3,M_UV_relation,0
46221,gds,4.0452294,-99.0,-99.0,-99.0,93.70175862178228,43.98,,43.98,43.98,0.3,M_UV_relation,0
46281,gds,4.789628,-99.0,-99.0,-99.0,98.6429472163686,44.12,,44.12,44.12,0.3,M_UV_relation,0
51983,gds,7.1353054,-99.0,-99.0,-99.0,69.60012298027199,44.57,,44.57,44.57,0.3,M_UV_relation,0
52017,gds,6.3311334,-99.0,-99.0,-99.0,146.5323076361852,44.41,,44.41,44.41,0.3,M_UV_relation,0
64049,gds,5.2713456,-99.0,-99.0,-99.0,81.54651482482295,44.21,,44.21,44.21,0.3,M_UV_relation,0
65646,gds,5.658066,-99.0,-99.0,-99.0,89.56483600565815,44.29,,44.29,44.29,0.3,M_UV_relation,0
66116,gds,6.846422,-99.0,-99.0,-99.0,102.6202347336458,44.51,,44.51,44.51,0.3,M_UV_relation,0
