id,field,z_phot,muv,lbol,av_catalog,re_phys_pc,logMstar_uv_method,logMstar_lbol_method,logMstar_color_corrected,logMstar_best,logMstar_err,method,n_bands_used
52141,primer-uds-north,7.130078,-19.19618822046892,45.99454201600438,3.0,83.40011570308987,10.25,-32.22,10.25,10.25,0.3,M_UV_relation,0
52856,primer-uds-north,6.320852,-19.206664201164383,43.99930545748256,0.0,130.3689840091876,10.1,-32.24,10.1,10.1,0.3,M_UV_relation,0
53667,primer-uds-north,4.5639205,-18.428622831993582,44.56890366374977,0.9,139.53292252148583,9.43,-32.23,9.43,9.43,0.3,M_UV_relation,0
54143,primer-uds-north,4.7315016,-18.865377462520083,44.374799891127545,0.9,135.45754054007486,9.65,-32.24,9.65,9.65,0.3,M_UV_relation,0
54603,primer-uds-north,5.651867,-18.705537098158988,45.14115252011275,2.5,120.81149651493617,9.76,-32.23,9.76,9.76,0.3,M_UV_relation,0
55902,primer-uds-north,8.670386,-18.158123577049885,46.27189689771328,2.9000000000000004,76.45530737967627,10.1,-32.22,10.1,10.1,0.3,M_UV_relation,0
56783,primer-uds-north,5.3133664,-17.220557936887353,44.859632574166895,1.8,87.9203147264202,9.05,-32.23,9.05,9.05,0.3,M_UV_relation,0
57469,primer-uds-north,5.667973,-19.777406408841863,45.901350994196925,3.1,105.37355869003378,10.22,-32.22,10.22,10.22,0.3,M_UV_relation,0
57944,primer-uds-north,5.28979,-18.39299451975264,44.906090933977296,1.7000000000000002,79.15001961700119,9.55,-32.23,9.55,9.55,0.3,M_UV_relation,0
61010,primer-uds-north,7.1341963,-17.987000259510943,44.742772534750166,1.0,145.64056178251772,9.73,-32.23,9.73,9.73,0.3,M_UV_relation,0
61298,primer-uds-north,5.242596,-17.735209954683214,44.922184457757055,1.6,85.42160650122935,9.26,-32.23,9.26,9.26,0.3,M_UV_relation,0
61378,primer-uds-north,7.4582853,-18.79015546818171,45.35312963768855,2.2,117.58698040520518,10.14,-32.23,10.14,10.14,0.3,M_UV_relation,0
62716,primer-uds-north,5.386735,-19.215492910727345,44.973112464074845,1.2000000000000002,88.86082499488971,9.93,-32.23,9.93,9.93,0.3,M_UV_relation,0
64273,primer-uds-north,7.13156,-16.571539656596613,45.16994551421614,2.0,95.45100089901749,9.12,-32.23,9.12,9.12,0.3,M_UV_relation,0
66007,primer-uds-north,4.5963383,-16.577231955645733,44.31240586508389,0.7000000000000001,90.98577110551594,8.64,-32.24,8.64,8.64,0.3,M_UV_relation,0
67270,primer-uds-north,5.6651006,-18.918995532774844,45.15250506733122,1.3,82.00542927635038,9.85,-32.23,9.85,9.85,0.3,M_UV_relation,0
68006,primer-uds-north,5.1602645,-17.799725522068222,45.324322307396734,1.4,74.1397249355095,9.27,-32.23,9.27,9.27,0.3,M_UV_relation,0
69921,primer-uds-north,5.6548767,-18.751775072437603,45.63454758004988,2.8000000000000003,112.60075282301597,9.78,-32.22,9.78,9.78,0.3,M_UV_relation,0
69936,primer-uds-north,7.0339665,-19.360973701872854,45.63378113520249,2.1,78.70314772328626,10.3,-32.22,10.3,10.3,0.3,M_UV_relation,0
70423,primer-uds-north,5.4776564,-17.023131624812354,44.44768833039357,0.6000000000000001,95.35114842972806,9.0,-32.24,9.0,9.0,0.3,M_UV_relation,0
