field,obs_id,instrument,filter,proposal_id,title,t_exptime,s_ra,s_dec
primer-uds-north,163480691,MIRI/IMAGE,,1837,,0.0,34.443832083333334,-5.270674999999983
primer-uds-north,163480635,MIRI/IMAGE,,1837,,0.0,34.443832083333334,-5.270674999999983
primer-cosmos-east,199675937,MIRI/IMAGE,,1727,,0.0,150.23590083333335,2.422936111111111
primer-cosmos-east,141181171,MIRI/IMAGE,,1837,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,141181220,MIRI/IMAGE,,1837,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,261926212,MIRI/IMAGE,,5893,,0.0,150.03442375,2.1884416666666664
primer-cosmos-east,262051262,MIRI/IMAGE,,5893,,0.0,150.03442375,2.1884416666666664
primer-cosmos-east,368593389,MIRI/IMAGE,,5893,,0.0,150.23590083333335,2.422936111111111
primer-cosmos-east,368593391,MIRI/IMAGE,,5893,,0.0,150.23590083333335,2.422936111111111
primer-cosmos-east,250360912,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360913,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463135,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463136,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463137,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463138,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360918,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360919,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463139,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463140,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463141,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463142,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,214932792,MIRI/IMAGE,,1837,,0.0,150.15239791666667,2.3569
primer-cosmos-east,214932794,MIRI/IMAGE,,1837,,0.0,150.15239791666667,2.3569
primer-cosmos-east,372524111,MIRI/IMAGE,,7814,,0.0,150.07151416666667,2.2635805555555555
primer-cosmos-east,109374093,MIRI/IMAGE,,1837,,0.0,150.07151416666667,2.2635805555555555
primer-cosmos-east,372523982,MIRI/IMAGE,,7814,,0.0,150.07151416666667,2.2635805555555555
primer-cosmos-east,109351529,MIRI/IMAGE,,1837,,0.0,150.07151416666667,2.2635805555555555
primer-cosmos-east,214858246,MIRI/IMAGE,,1837,,0.0,150.18130875,2.3445444444444448
primer-cosmos-east,214893282,MIRI/IMAGE,,1837,,0.0,150.18130875,2.3445444444444448
primer-cosmos-east,200878777,MIRI/IMAGE,,1727,,0.0,150.20173624999998,2.4353583333333337
primer-cosmos-east,266463447,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463450,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463451,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463454,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,262817424,MIRI/IMAGE,,5893,,0.0,150.17105083333334,2.13875
primer-cosmos-east,250361152,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463448,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361158,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463452,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361153,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463449,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361159,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463453,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463431,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463434,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463435,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463438,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361136,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463432,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361142,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463436,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361137,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463433,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361143,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463437,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,262817423,MIRI/IMAGE,,5893,,0.0,150.17105083333334,2.13875
primer-cosmos-east,250361105,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463367,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361111,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463381,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361104,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463364,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250361110,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463379,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463362,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463369,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463376,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463383,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,368832630,MIRI/IMAGE,,5893,,0.0,150.23590083333335,2.422936111111111
primer-cosmos-east,368832629,MIRI/IMAGE,,5893,,0.0,150.23590083333335,2.422936111111111
primer-cosmos-east,300768818,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768916,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768798,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768896,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768779,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768861,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768762,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,300768843,MIRI/IMAGE,,9400,,0.0,150.11348291666667,2.3196416666666666
primer-cosmos-east,199454373,MIRI/IMAGE,,1727,,0.0,150.27006541666668,2.410511111111111
primer-cosmos-east,127234071,MIRI/IMAGE,,1727,,0.0,150.0685883333333,2.1760166666666665
primer-cosmos-east,266463055,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463058,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463059,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463062,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463216,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463219,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463220,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463223,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360832,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463056,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360838,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463060,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360992,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463217,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360998,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463221,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360833,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463057,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360839,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463061,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360993,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463218,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,250360999,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,266463222,MIRI/IMAGE,,7814,,0.0,150.18048124999999,2.400672222222222
primer-cosmos-east,127234055,MIRI/IMAGE,,1727,,0.0,150.03442375,2.1884416666666664
primer-cosmos-east,127758483,MIRI/IMAGE,,1727,,0.0,150.10273750000002,2.163594444444444
primer-cosmos-east,300769292,MIRI/IMAGE,,9400,,0.0,150.15095333333335,2.2801222222222224
primer-cosmos-east,300769389,MIRI/IMAGE,,9400,,0.0,150.15095333333335,2.2801222222222224
primer-cosmos-east,300769474,MIRI/IMAGE,,9400,,0.0,150.15095333333335,2.2801222222222224
primer-cosmos-east,262819506,MIRI/IFU,,4761,,0.0,150.09458708333335,2.336344444444445
primer-cosmos-east,262819507,MIRI/IFU,,4761,,0.0,150.09458708333335,2.336344444444445
primer-cosmos-east,262819504,MIRI/IFU,,4761,,0.0,150.09458708333335,2.336344444444445
primer-cosmos-east,300769319,MIRI/IMAGE,,9400,,0.0,150.15095333333335,2.2801222222222224
primer-cosmos-east,300769414,MIRI/IMAGE,,9400,,0.0,150.15095333333335,2.2801222222222224
primer-cosmos-east,300769498,MIRI/IMAGE,,9400,,0.0,150.15095333333335,2.2801222222222224
primer-cosmos-east,300593673,MIRI/IMAGE,,4761,,0.0,150.09458708333335,2.336344444444445
primer-cosmos-east,300593646,MIRI/IMAGE,,4761,,0.0,150.09458708333335,2.336344444444445
primer-cosmos-east,300593648,MIRI/IMAGE,,4761,,0.0,150.09458708333335,2.336344444444445
primer-cosmos-east,262819514,MIRI/IFU,,4761,,0.0,150.09458708333335,2.336344444444445
primer-cosmos-east,262819508,MIRI/IFU,,4761,,0.0,150.09458708333335,2.336344444444445
