id,field,z_phot,Tanh_baseline_dC2,Tanh_baseline_verdict,Gaussian_single_dC2,Gaussian_single_verdict,Gaussian_double_dC2,Gaussian_double_verdict,Wide_tanh_dC2,Wide_tanh_verdict,Tanh_p_highmz_decay_dC2,Tanh_p_highmz_decay_verdict
57469,primer-uds-north,5.667973,0.0003,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0003,Neutral
57944,primer-uds-north,5.28979,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
61010,primer-uds-north,7.1341963,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
61298,primer-uds-north,5.242596,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
61378,primer-uds-north,7.4582853,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
62716,primer-uds-north,5.386735,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
64273,primer-uds-north,7.13156,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
66007,primer-uds-north,4.5963383,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
67270,primer-uds-north,5.6651006,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
68006,primer-uds-north,5.1602645,0.0007,Neutral,0.0007,Neutral,0.0004,Neutral,0.0007,Neutral,0.0007,Neutral
69921,primer-uds-north,5.6548767,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
69936,primer-uds-north,7.0339665,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
70423,primer-uds-north,5.4776564,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
70813,primer-uds-north,4.7062697,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
71037,primer-uds-north,6.849483,0.0002,Neutral,0.0001,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
71893,primer-uds-north,6.429184,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
4278,primer-cosmos-east,5.6582265,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
6282,primer-cosmos-east,5.673777,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
9227,primer-cosmos-east,5.713857,0.0007,Neutral,0.0006,Neutral,0.0004,Neutral,0.0007,Neutral,0.0007,Neutral
10696,primer-cosmos-east,5.6677623,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
11967,primer-cosmos-east,5.482298,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
14086,primer-cosmos-east,7.127323,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
14487,primer-cosmos-east,7.1692533,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
15393,primer-cosmos-east,5.68946,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
15850,primer-cosmos-east,7.0456376,0.0003,Neutral,0.0002,Neutral,0.0001,Neutral,0.0003,Neutral,0.0003,Neutral
16083,primer-cosmos-east,4.57788,0.0007,Neutral,0.0006,Neutral,0.0004,Neutral,0.0006,Neutral,0.0007,Neutral
16408,primer-cosmos-east,4.574863,0.0004,Neutral,0.0004,Neutral,0.0003,Neutral,0.0004,Neutral,0.0004,Neutral
16563,primer-cosmos-east,5.0219927,0.0018,Neutral,0.0018,Neutral,0.0011,Neutral,0.0018,Neutral,0.0018,Neutral
17813,primer-cosmos-east,5.226693,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
18893,primer-cosmos-east,4.8477397,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
19462,primer-cosmos-east,4.365069,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
19946,primer-cosmos-east,5.974449,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
20187,primer-cosmos-east,6.6081676,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
21943,primer-cosmos-east,4.7154994,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
23571,primer-cosmos-east,4.760719,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
26971,primer-cosmos-east,6.4066525,0.0006,Neutral,0.0005,Neutral,0.0003,Neutral,0.0006,Neutral,0.0006,Neutral
27072,primer-cosmos-east,4.957128,0.0125,Neutral,0.0125,Neutral,0.0074,Neutral,0.0125,Neutral,0.0125,Neutral
27765,primer-cosmos-east,5.1726418,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
31668,primer-cosmos-east,5.6076913,0.0027,Neutral,0.0026,Neutral,0.0014,Neutral,0.0027,Neutral,0.0027,Neutral
31770,primer-cosmos-east,5.77907,0.0017,Neutral,0.0016,Neutral,0.0009,Neutral,0.0017,Neutral,0.0017,Neutral
32928,primer-cosmos-east,4.4581003,0.0038,Neutral,0.0037,Neutral,0.0024,Neutral,0.0038,Neutral,0.0038,Neutral
40209,primer-cosmos-east,5.4609075,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
40642,primer-cosmos-east,4.63434,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
40799,primer-cosmos-east,7.681151,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
42464,primer-cosmos-east,5.3674827,0.0011,Neutral,0.0011,Neutral,0.0006,Neutral,0.0011,Neutral,0.0011,Neutral
43445,primer-cosmos-east,5.696871,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
45179,primer-cosmos-east,7.1054926,0.0002,Neutral,0.0001,Neutral,0.0,Neutral,0.0002,Neutral,0.0002,Neutral
47824,primer-cosmos-east,5.655495,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
48498,primer-cosmos-east,4.453304,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
48540,primer-cosmos-east,5.656249,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
50325,primer-cosmos-east,6.427699,0.0002,Neutral,0.0001,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
50988,primer-cosmos-east,4.526494,0.0054,Neutral,0.0053,Neutral,0.0034,Neutral,0.0054,Neutral,0.0054,Neutral
51514,primer-cosmos-east,4.43674,0.0026,Neutral,0.0025,Neutral,0.0016,Neutral,0.0026,Neutral,0.0026,Neutral
51855,primer-cosmos-east,4.651201,0.001,Neutral,0.001,Neutral,0.0006,Neutral,0.001,Neutral,0.001,Neutral
52084,primer-cosmos-east,7.07561,0.0007,Neutral,0.0004,Neutral,0.0002,Neutral,0.0007,Neutral,0.0007,Neutral
52124,primer-cosmos-east,4.833804,0.0004,Neutral,0.0004,Neutral,0.0003,Neutral,0.0004,Neutral,0.0004,Neutral
54661,primer-cosmos-east,5.667634,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
55423,primer-cosmos-east,5.408047,0.001,Neutral,0.001,Neutral,0.0005,Neutral,0.001,Neutral,0.001,Neutral
344,primer-uds-south,7.1353946,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
2480,primer-uds-south,4.684057,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
4620,primer-uds-south,5.7462945,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
7830,primer-uds-south,5.5453625,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
9104,primer-uds-south,6.0930605,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
9791,primer-uds-south,5.0277753,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
11501,primer-uds-south,4.6799717,0.0012,Neutral,0.0012,Neutral,0.0007,Neutral,0.0012,Neutral,0.0012,Neutral
14258,primer-uds-south,5.4718714,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
17986,primer-uds-south,4.940114,0.0016,Neutral,0.0016,Neutral,0.0009,Neutral,0.0016,Neutral,0.0016,Neutral
21488,primer-uds-south,5.413992,0.002,Neutral,0.0019,Neutral,0.0011,Neutral,0.002,Neutral,0.002,Neutral
22358,primer-uds-south,4.6764946,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
23107,primer-uds-south,4.9525127,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
25430,primer-uds-south,7.1282,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
28931,primer-uds-south,7.9047303,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
29392,primer-uds-south,7.4709635,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
30157,primer-uds-south,4.726915,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
30191,primer-uds-south,4.036579,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
30520,primer-uds-south,5.349781,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
32880,primer-uds-south,4.7559557,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
33445,primer-uds-south,4.34576,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
33898,primer-uds-south,4.545273,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
36872,primer-uds-south,7.135115,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
37557,primer-uds-south,5.655718,0.0005,Neutral,0.0004,Neutral,0.0002,Neutral,0.0005,Neutral,0.0005,Neutral
37751,primer-uds-south,5.3592114,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
37878,primer-uds-south,4.7731967,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
39711,primer-uds-south,5.461955,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
44435,primer-uds-south,5.1732736,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
45383,primer-uds-south,4.8551655,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
45637,primer-uds-south,4.5362873,0.0008,Neutral,0.0008,Neutral,0.0005,Neutral,0.0008,Neutral,0.0008,Neutral
47509,primer-uds-south,5.659403,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
48686,primer-uds-south,4.843895,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
48982,primer-uds-south,5.38785,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
50716,primer-uds-south,7.8636265,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
51593,primer-uds-south,4.457851,0.0004,Neutral,0.0004,Neutral,0.0002,Neutral,0.0004,Neutral,0.0004,Neutral
52581,primer-uds-south,6.166954,0.0008,Neutral,0.0006,Neutral,0.0004,Neutral,0.0008,Neutral,0.0008,Neutral
55634,primer-uds-south,6.879805,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
55783,primer-uds-south,4.6260314,0.0005,Neutral,0.0005,Neutral,0.0003,Neutral,0.0005,Neutral,0.0005,Neutral
57494,primer-uds-south,4.0239935,0.0045,Neutral,0.004,Neutral,0.0026,Neutral,0.0044,Neutral,0.0045,Neutral
59568,primer-uds-south,8.901577,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
59880,primer-uds-south,5.663111,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
59971,primer-uds-south,5.3915443,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
60046,primer-uds-south,5.462843,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
60446,primer-uds-south,4.36605,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
62395,primer-uds-south,5.6591854,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
66511,primer-uds-south,7.1307554,0.0005,Neutral,0.0003,Neutral,0.0001,Neutral,0.0005,Neutral,0.0005,Neutral
67076,primer-uds-south,7.9367976,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0,Neutral
68947,primer-uds-south,5.6559973,0.0004,Neutral,0.0004,Neutral,0.0002,Neutral,0.0004,Neutral,0.0004,Neutral
69772,primer-uds-south,5.4293756,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
6756,ceers-full,7.136083,0.0002,Neutral,0.0001,Neutral,0.0,Neutral,0.0002,Neutral,0.0002,Neutral
9246,ceers-full,4.6044097,0.0008,Neutral,0.0007,Neutral,0.0005,Neutral,0.0008,Neutral,0.0008,Neutral
12234,ceers-full,6.142212,0.0006,Neutral,0.0005,Neutral,0.0003,Neutral,0.0006,Neutral,0.0006,Neutral
12544,ceers-full,4.549665,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
13736,ceers-full,5.356953,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
14076,ceers-full,5.661391,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
19354,ceers-full,5.4279175,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
20010,ceers-full,8.934445,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
20632,ceers-full,5.653135,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
20897,ceers-full,4.533114,0.0026,Neutral,0.0026,Neutral,0.0016,Neutral,0.0026,Neutral,0.0026,Neutral
22049,ceers-full,7.1350226,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
22239,ceers-full,7.131442,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
23054,ceers-full,6.8682966,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
24464,ceers-full,5.655386,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
28748,ceers-full,4.7529554,0.0016,Neutral,0.0016,Neutral,0.001,Neutral,0.0016,Neutral,0.0016,Neutral
29421,ceers-full,4.785098,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
30600,ceers-full,4.025932,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
36886,ceers-full,4.4499197,0.0004,Neutral,0.0004,Neutral,0.0002,Neutral,0.0004,Neutral,0.0004,Neutral
36985,ceers-full,5.6537137,0.0003,Neutral,0.0003,Neutral,0.0001,Neutral,0.0003,Neutral,0.0003,Neutral
39094,ceers-full,4.73153,0.0007,Neutral,0.0007,Neutral,0.0004,Neutral,0.0007,Neutral,0.0007,Neutral
40589,ceers-full,8.006711,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
41179,ceers-full,7.24225,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
41913,ceers-full,5.2459974,0.0039,Neutral,0.0039,Neutral,0.0022,Neutral,0.0039,Neutral,0.0039,Neutral
42093,ceers-full,6.445882,0.0008,Neutral,0.0006,Neutral,0.0004,Neutral,0.0008,Neutral,0.0008,Neutral
