id,field,z_phot,Tanh_baseline_dC2,Tanh_baseline_verdict,Gaussian_single_dC2,Gaussian_single_verdict,Gaussian_double_dC2,Gaussian_double_verdict,Wide_tanh_dC2,Wide_tanh_verdict,Tanh_p_highmz_decay_dC2,Tanh_p_highmz_decay_verdict
25633,primer-cosmos-west,7.051051,0.0003,Neutral,0.0002,Neutral,0.0001,Neutral,0.0003,Neutral,0.0003,Neutral
26495,primer-cosmos-west,5.019624,0.0018,Neutral,0.0018,Neutral,0.0011,Neutral,0.0018,Neutral,0.0018,Neutral
28491,primer-cosmos-west,5.5851088,0.0003,Neutral,0.0002,Neutral,0.0001,Neutral,0.0003,Neutral,0.0003,Neutral
28500,primer-cosmos-west,5.42897,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
29372,primer-cosmos-west,5.3858166,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
29568,primer-cosmos-west,4.3603206,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
30073,primer-cosmos-west,6.004138,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
30145,primer-cosmos-west,5.6646295,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
31319,primer-cosmos-west,6.3338737,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
31661,primer-cosmos-west,4.4626226,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
32535,primer-cosmos-west,5.7491784,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
33230,primer-cosmos-west,4.7521863,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
36162,primer-cosmos-west,6.410995,0.0006,Neutral,0.0005,Neutral,0.0003,Neutral,0.0006,Neutral,0.0006,Neutral
42656,primer-cosmos-west,5.6853933,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
43505,primer-cosmos-west,4.6754527,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
44446,primer-cosmos-west,7.1314645,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
46914,primer-cosmos-west,5.654763,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
47165,primer-cosmos-west,5.2337646,0.0004,Neutral,0.0004,Neutral,0.0002,Neutral,0.0004,Neutral,0.0004,Neutral
50300,primer-cosmos-west,5.6961317,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
50560,primer-cosmos-west,5.145899,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
51657,primer-cosmos-west,4.7941256,0.002,Neutral,0.002,Neutral,0.0012,Neutral,0.002,Neutral,0.002,Neutral
53626,primer-cosmos-west,5.6552424,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral,0.0001,Neutral
54067,primer-cosmos-west,5.6564326,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
55716,primer-cosmos-west,4.438319,0.0026,Neutral,0.0025,Neutral,0.0016,Neutral,0.0026,Neutral,0.0026,Neutral
1498,gds,4.6633844,0.0023,Neutral,0.0023,Neutral,0.0014,Neutral,0.0023,Neutral,0.0023,Neutral
2981,gds,4.812245,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
3099,gds,5.458368,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
5434,gds,4.1072683,0.0037,Neutral,0.0033,Neutral,0.0021,Neutral,0.0036,Neutral,0.0037,Neutral
14381,gds,5.44441,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
14605,gds,6.9280586,0.0002,Neutral,0.0001,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
16053,gds,6.9018006,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
18537,gds,4.277338,0.0024,Neutral,0.0022,Neutral,0.0014,Neutral,0.0023,Neutral,0.0024,Neutral
22388,gds,7.18187,0.0009,Neutral,0.0005,Neutral,0.0002,Neutral,0.0009,Neutral,0.0009,Neutral
23636,gds,7.1328406,0.0003,Neutral,0.0002,Neutral,0.0001,Neutral,0.0003,Neutral,0.0003,Neutral
23868,gds,8.927632,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
29303,gds,5.9859753,0.0002,Neutral,0.0001,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
32147,gds,4.603241,0.005,Neutral,0.0049,Neutral,0.0031,Neutral,0.0049,Neutral,0.005,Neutral
32402,gds,4.9424376,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
35367,gds,5.489472,0.004,Neutral,0.0039,Neutral,0.0022,Neutral,0.004,Neutral,0.004,Neutral
37563,gds,5.7131443,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
39509,gds,4.2876787,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
41129,gds,7.1333513,0.0002,Neutral,0.0001,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
44531,gds,7.1240745,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
45202,gds,7.1312556,0.0005,Neutral,0.0003,Neutral,0.0001,Neutral,0.0005,Neutral,0.0005,Neutral
46221,gds,4.0452294,0.0019,Neutral,0.0017,Neutral,0.0011,Neutral,0.0019,Neutral,0.0019,Neutral
46281,gds,4.789628,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
51983,gds,7.1353054,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
52017,gds,6.3311334,0.0002,Neutral,0.0001,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
64049,gds,5.2713456,0.0001,Neutral,0.0001,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
65646,gds,5.658066,0.0003,Neutral,0.0003,Neutral,0.0001,Neutral,0.0003,Neutral,0.0003,Neutral
66116,gds,6.846422,0.0008,Neutral,0.0005,Neutral,0.0003,Neutral,0.0008,Neutral,0.0008,Neutral
