id,field,ra,dec,sep_from_center_arcmin,xray_survey,fxb_full_05_7keV,fxb_soft_02_2keV,fxb_hard_27_keV,offaxis_factor,detected
24100,primer-uds-north,34.44288277802616,-5.168180429149539,5.07,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.9112810610678216e-16,1.3037603536892738e-16,7.822562122135643e-16,2.61,False
29106,primer-uds-north,34.331642955166934,-5.159233119107454,1.78,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.7979725705533674e-16,5.993241901844558e-17,3.595945141106735e-16,1.2,False
29110,primer-uds-north,34.42591519726276,-5.159179553898098,3.98,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.9829773345431053e-16,9.943257781810351e-17,5.965954669086211e-16,1.99,False
31581,primer-uds-north,34.369660395452605,-5.1551482967237865,0.65,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.5401879810107906e-16,5.133959936702636e-17,3.080375962021581e-16,1.03,False
31645,primer-uds-north,34.514179116647604,-5.155046303348935,9.22,XMM-Newton UDS / UDSz X-ray (Kocevski+18),9.466667872727986e-16,3.1555559575759953e-16,1.8933335745455973e-15,6.31,False
32025,primer-uds-north,34.452492762590296,-5.154707337215251,5.53,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.3714757346230243e-16,1.4571585782076747e-16,8.742951469246049e-16,2.91,False
32237,primer-uds-north,34.41985984195683,-5.154215136324553,3.59,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.705574605731473e-16,9.01858201910491e-17,5.411149211462946e-16,1.8,False
32986,primer-uds-north,34.41140073334921,-5.153087888601745,3.08,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.3877159768697255e-16,7.959053256232418e-17,4.775431953739451e-16,1.59,False
33332,primer-uds-north,34.404984092098026,-5.152606688880327,2.69,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.1797419664350517e-16,7.265806554783505e-17,4.3594839328701034e-16,1.45,False
33774,primer-uds-north,34.24782824156703,-5.151996752625728,6.7,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.713710412567276e-16,1.9045701375224252e-16,1.1427420825134551e-15,3.81,False
35111,primer-uds-north,34.296003362134044,-5.149896222259397,3.82,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.871121125606634e-16,9.570403752022114e-17,5.742242251213268e-16,1.91,False
36327,primer-uds-north,34.27604159504762,-5.148030618101284,5.02,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.8611893459831656e-16,1.287063115327722e-16,7.722378691966331e-16,2.57,False
