Group,N,z_mean,z_std,Av_mean,AGN_mean,logM_mean,fx_median,dChi2_mean
Support,111,5.2122883468468455,0.8258818756752319,1.073153153153153,0.17746846846846845,10.542252252252252,4.3641622623591734e-16,182.0343243243243
Neutral,106,5.948610588679245,1.1651269860924602,2.0197169811320754,0.16691037735849057,10.971509433962265,4.0599260130518224e-16,-0.04632075471698114
Null wins,43,6.629345413953488,1.1592978765126798,2.6304651162790695,0.37976976744186053,9.95906976744186,3.8488258234927637e-16,-88.61069767441859
