id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,verdict,Cb_null,Cr_null,Cb_geff,Cr_geff
48540,primer-cosmos-east,5.656249,7,0.056354,0.112708,23.654374,24.235998,-0.581624,122.163690,125.071811,-2.908121,Neutral,0.211915,0.216125,0.222882,0.221756
50325,primer-cosmos-east,6.427699,7,0.075388,0.150776,316.197491,117.561110,198.636381,1584.879275,591.697370,993.181905,Weak,0.464229,0.172919,0.501051,0.231808
50988,primer-cosmos-east,4.526494,7,0.033415,0.066829,695.745622,683.736066,12.009556,3482.619929,3422.572148,60.047781,Weak,0.278623,0.308174,0.278679,0.319112
51514,primer-cosmos-east,4.436740,7,0.031853,0.063706,1934.127849,812.355679,1121.772170,9674.531063,4065.670214,5608.860849,Weak,0.169608,0.311397,0.286781,0.310436
51855,primer-cosmos-east,4.651201,7,0.035650,0.071300,678.009207,672.678062,5.331146,3393.937856,3367.282128,26.655728,Weak,0.462037,0.222618,0.459737,0.231875
52084,primer-cosmos-east,7.075610,7,0.093450,0.186901,290.501070,302.441504,-11.940433,1456.397172,1516.099339,-59.702167,Null wins,0.445692,0.288732,0.450831,0.308406
52124,primer-cosmos-east,4.833804,7,0.039058,0.078117,120.350119,120.878214,-0.528095,605.642414,608.282889,-2.640475,Neutral,0.322484,0.299046,0.323140,0.310735
54661,primer-cosmos-east,5.667634,7,0.056615,0.113231,33.374303,33.974567,-0.600264,170.763335,173.764654,-3.001319,Neutral,0.375189,0.139121,0.384999,0.141767
55423,primer-cosmos-east,5.408047,7,0.050804,0.101609,105.822665,117.318025,-11.495361,533.005143,590.481946,-57.476803,Null wins,0.141943,0.388065,0.144693,0.405364
344,primer-uds-south,7.135395,7,0.095213,0.190426,15.246581,16.057870,-0.811288,80.124727,84.181169,-4.056442,Neutral,0.225207,0.305728,0.230470,0.326324
2480,primer-uds-south,4.684057,7,0.036251,0.072503,7.482199,7.533434,-0.051235,41.302816,41.558991,-0.256175,Neutral,0.442858,0.254650,0.443505,0.263807
4620,primer-uds-south,5.746295,7,0.058437,0.116874,114.804360,118.039150,-3.234790,577.913620,594.087571,-16.173951,Null wins,0.237631,0.329106,0.239786,0.345200
7830,primer-uds-south,5.545363,7,0.053840,0.107680,16.300951,17.036377,-0.735426,85.396574,89.073704,-3.677130,Neutral,0.408918,0.286812,0.411732,0.299551
9104,primer-uds-south,6.093060,7,0.066801,0.133603,26.762649,27.462089,-0.699440,137.705063,141.202264,-3.497201,Neutral,0.364989,0.267838,0.368662,0.281204
9791,primer-uds-south,5.027775,7,0.042853,0.085706,15.058306,15.809285,-0.750979,79.183352,82.938247,-3.754895,Neutral,0.217719,0.344144,0.221142,0.357055
11501,primer-uds-south,4.679972,7,0.036176,0.072353,425.843254,435.485767,-9.642513,2133.108092,2181.320657,-48.212565,Null wins,0.417163,0.278354,0.419636,0.287493
14258,primer-uds-south,5.471871,7,0.052204,0.104409,42.644007,43.531330,-0.887323,217.111853,221.548470,-4.436617,Neutral,0.491884,0.190483,0.497630,0.196794
17986,primer-uds-south,4.940114,7,0.041116,0.082232,541.751210,542.749725,-0.998516,2712.647868,2717.640448,-4.992579,Neutral,0.278235,0.304365,0.278865,0.316529
21488,primer-uds-south,5.413992,7,0.050934,0.101868,2949.221527,3034.644695,-85.423168,14749.999455,15177.115297,-427.115842,Null wins,0.129515,0.273456,0.135630,0.283177
22358,primer-uds-south,4.676495,7,0.036113,0.072225,71.391079,71.074951,0.316128,360.847217,359.266574,1.580642,Weak,0.520295,0.164171,0.518990,0.170866
23107,primer-uds-south,4.952513,7,0.041360,0.082719,7.882082,7.544959,0.337123,43.302230,41.616616,1.685614,Weak,0.495003,0.234465,0.492247,0.245281
25430,primer-uds-south,7.128200,7,0.095000,0.190000,17.653114,18.218389,-0.565275,92.157388,94.983765,-2.826377,Neutral,0.365414,0.182879,0.368643,0.194976
28931,primer-uds-south,7.904730,7,0.119366,0.238733,293.712583,170.234823,123.477760,1472.454734,855.065934,617.388800,Weak,0.237312,0.248453,0.397746,0.378681
29392,primer-uds-south,7.470963,7,0.105411,0.210822,10.385379,11.525573,-1.140194,55.818717,61.519686,-5.700969,Null wins,0.336145,0.349526,0.340463,0.376007
30157,primer-uds-south,4.726915,7,0.037044,0.074088,23.966101,23.649824,0.316277,123.722327,122.140942,1.581385,Weak,0.574350,0.227328,0.572403,0.236852
30191,primer-uds-south,4.036579,7,0.025375,0.050749,20.690002,20.657413,0.032590,107.341831,107.178883,0.162948,Weak,0.538456,0.257991,0.535042,0.266169
30520,primer-uds-south,5.349781,7,0.049542,0.099085,3.956925,4.119182,-0.162257,23.676444,24.487732,-0.811287,Neutral,0.531081,0.271361,0.531944,0.283637
32880,primer-uds-south,4.755956,7,0.037586,0.075171,182.931964,180.240863,2.691101,918.551640,905.096136,13.455504,Weak,0.357708,0.186036,0.352459,0.195433
33445,primer-uds-south,4.345760,7,0.030310,0.060620,222.915747,182.422252,40.493495,1118.470555,916.003079,202.467475,Weak,0.663667,0.097063,0.655587,0.116740
33898,primer-uds-south,4.545273,7,0.033746,0.067493,7.938650,7.880285,0.058364,43.585069,43.293247,0.291822,Weak,0.442190,0.136473,0.441987,0.141362
36872,primer-uds-south,7.135115,7,0.095205,0.190410,93.203539,95.995171,-2.791632,469.909515,483.867674,-13.958159,Null wins,0.259627,0.245418,0.265189,0.260868
37557,primer-uds-south,5.655718,7,0.056342,0.112684,983.856854,1006.771570,-22.914716,4923.176090,5037.749671,-114.573581,Null wins,0.292117,0.217467,0.297963,0.225245
37751,primer-uds-south,5.359211,7,0.049746,0.099491,420.829618,432.453845,-11.624227,2108.039913,2166.161047,-58.121134,Null wins,0.102742,0.280257,0.108979,0.290256
37878,primer-uds-south,4.773197,7,0.037909,0.075819,7.975547,7.615413,0.360134,43.769557,41.968887,1.800670,Weak,0.565469,0.243489,0.563109,0.253805
39711,primer-uds-south,5.461955,7,0.051986,0.103971,15.024091,15.265060,-0.240969,79.012276,80.217122,-1.204846,Neutral,0.564745,0.149720,0.568534,0.154991
44435,primer-uds-south,5.173274,7,0.045816,0.091632,30.846204,31.167625,-0.321421,158.122843,159.729945,-1.607103,Neutral,0.190338,0.284431,0.192685,0.295875
45383,primer-uds-south,4.855166,7,0.039468,0.078935,5.888121,6.036464,-0.148342,33.332427,34.074138,-0.741711,Neutral,0.326269,0.324848,0.328136,0.336848
45637,primer-uds-south,4.536287,7,0.033587,0.067175,220.449501,218.094234,2.355268,1106.139326,1094.362988,11.776338,Weak,0.600824,0.223997,0.599781,0.232312
47509,primer-uds-south,5.659403,7,0.056426,0.112853,117.535860,120.503579,-2.967719,591.571122,606.409715,-14.838593,Null wins,0.431087,0.222690,0.439087,0.230001
48686,primer-uds-south,4.843895,7,0.039251,0.078503,1.178895,1.143473,0.035422,9.786293,9.609185,0.177108,Weak,0.617771,0.189101,0.617038,0.196878
48982,primer-uds-south,5.387850,7,0.050365,0.100730,72.182243,74.821750,-2.639506,364.803037,378.000569,-13.197531,Null wins,0.088902,0.328272,0.102042,0.338060
50716,primer-uds-south,7.863626,7,0.118006,0.236013,28.597081,63.507723,-34.910642,146.877225,321.430436,-174.553211,Null wins,0.232142,0.292334,0.447440,0.360537
51593,primer-uds-south,4.457851,7,0.032217,0.064433,99.499701,19.630896,79.868804,501.390323,102.046301,399.344022,Weak,0.073783,0.396232,0.309920,0.352529
52581,primer-uds-south,6.166954,7,0.068654,0.137308,594.624196,411.636707,182.987490,2977.012801,2062.075353,914.937448,Weak,0.101752,0.336848,0.375414,0.311196
55634,primer-uds-south,6.879805,7,0.087791,0.175582,89.021756,87.704646,1.317111,449.000602,442.415049,6.585553,Weak,0.516923,0.106689,0.517070,0.114851
55783,primer-uds-south,4.626031,7,0.035193,0.070385,353.674471,356.096804,-2.422333,1772.264177,1784.375841,-12.111664,Null wins,0.216268,0.237902,0.217317,0.245875
57494,primer-uds-south,4.023993,7,0.025184,0.050368,1147.628311,1164.826835,-17.198524,5742.033374,5828.025996,-85.992622,Null wins,0.354433,0.305738,0.355270,0.313487
59568,primer-uds-south,8.901577,7,0.154826,0.309651,15.587441,16.169026,-0.581585,81.829024,84.736950,-2.907925,Neutral,0.404165,0.327995,0.411076,0.361025
59880,primer-uds-south,5.663111,7,0.056511,0.113023,15.625919,15.940091,-0.314172,82.021415,83.592275,-1.570860,Neutral,0.284067,0.207397,0.296263,0.212177
59971,primer-uds-south,5.391544,7,0.050445,0.100891,9.975323,10.124676,-0.149353,53.768435,54.515200,-0.746764,Neutral,0.237085,0.067218,0.240148,0.068968
60046,primer-uds-south,5.462843,7,0.052005,0.104010,28.171146,28.443928,-0.272782,144.747551,146.111459,-1.363908,Neutral,0.542625,0.099776,0.545832,0.103082
60446,primer-uds-south,4.366050,7,0.030651,0.061301,135.332494,46.268254,89.064241,680.554293,235.233089,445.321204,Weak,0.032621,0.395427,0.234139,0.369722
62395,primer-uds-south,5.659185,7,0.056421,0.112843,452.069911,464.332174,-12.262263,2264.241375,2325.552689,-61.311314,Null wins,0.109492,0.263117,0.117639,0.272486
66511,primer-uds-south,7.130755,7,0.095076,0.190151,1100.902436,1141.645149,-40.742713,5508.403999,5712.117564,-203.713565,Null wins,0.089497,0.295809,0.095537,0.314851
67076,primer-uds-south,7.936798,7,0.120433,0.240866,93.737139,42.284066,51.453073,472.577515,215.312150,257.265366,Weak,0.339197,0.227138,0.489547,0.338125
68947,primer-uds-south,5.655997,7,0.056348,0.112696,1342.731202,1378.063542,-35.332340,6717.547831,6894.209530,-176.661699,Null wins,0.000000,0.281867,0.000000,0.295229
69772,primer-uds-south,5.429376,7,0.051270,0.102540,660.500633,678.609795,-18.109162,3306.394987,3396.940797,-90.545811,Null wins,0.070719,0.290648,0.081054,0.299813
6756,ceers-full,7.136083,6,0.095233,0.190467,29.048012,33.193643,-4.145631,119.775565,136.358090,-16.582524,Null wins,0.204306,0.374036,0.208977,0.400771
9246,ceers-full,4.604410,6,0.034802,0.069605,119.232241,114.782987,4.449254,480.512482,462.715467,17.797016,Weak,0.331610,0.287858,0.331184,0.298523
12234,ceers-full,6.142212,6,0.068031,0.136062,468.599348,271.967231,196.632116,1877.980911,1091.452445,786.528466,Weak,0.207203,0.333809,0.375686,0.342668
12544,ceers-full,4.549665,6,0.033824,0.067649,58.972106,58.702401,0.269705,239.471945,238.393123,1.078821,Weak,0.607771,0.197334,0.607151,0.204654
13736,ceers-full,5.356953,6,0.049697,0.099394,119.689253,126.637335,-6.948082,482.340531,510.132859,-27.792328,Null wins,0.243212,0.345400,0.246239,0.360259
14076,ceers-full,5.661391,6,0.056472,0.112944,41.307610,42.252448,-0.944838,168.813960,172.593313,-3.779352,Neutral,0.539326,0.225590,0.545277,0.234145
19354,ceers-full,5.427918,6,0.051238,0.102476,163.804951,171.774897,-7.969946,658.803322,690.683106,-31.879784,Null wins,0.096543,0.393258,0.101361,0.409947
20010,ceers-full,8.934445,6,0.156077,0.312154,3.606120,3.734922,-0.128802,18.007998,18.523206,-0.515209,Neutral,0.417928,0.320104,0.424696,0.353077
20632,ceers-full,5.653135,6,0.056283,0.112565,443.318933,458.904927,-15.585994,1776.859252,1839.203229,-62.343976,Null wins,0.068375,0.310556,0.075329,0.322983
20897,ceers-full,4.533114,6,0.033531,0.067063,400.273190,388.873226,11.399964,1604.676279,1559.076422,45.599857,Weak,0.160509,0.351804,0.160672,0.364344
22049,ceers-full,7.135023,6,0.095202,0.190404,268.206471,274.444055,-6.237584,1076.409401,1101.359738,-24.950337,Null wins,0.313688,0.191610,0.318316,0.203089
22239,ceers-full,7.131442,6,0.095096,0.190192,25.735622,26.893397,-1.157775,106.526008,111.157106,-4.631099,Null wins,0.098794,0.306933,0.104068,0.327072
23054,ceers-full,6.868297,6,0.087464,0.174928,0.968648,0.952501,0.016147,7.458113,7.393523,0.064590,Weak,0.498844,0.286633,0.501834,0.306015
24464,ceers-full,5.655386,6,0.056334,0.112668,432.783769,443.998901,-11.215132,1734.718596,1779.579125,-44.860529,Null wins,0.293470,0.241502,0.301670,0.249814
28748,ceers-full,4.752955,6,0.037530,0.075059,643.784734,647.209708,-3.424974,2578.722454,2592.422349,-13.699895,Null wins,0.199348,0.333392,0.200238,0.345953
29421,ceers-full,4.785098,6,0.038134,0.076267,495.264591,495.434211,-0.169620,1984.641884,1985.320365,-0.678481,Neutral,0.313620,0.252035,0.314064,0.261789
30600,ceers-full,4.025932,6,0.025213,0.050426,19.401009,19.922887,-0.521877,81.187556,83.275066,-2.087510,Neutral,0.188781,0.378498,0.189143,0.388276
36886,ceers-full,4.449920,6,0.032080,0.064159,437.634052,228.838658,208.795394,1754.119728,918.938152,835.181575,Weak,0.043194,0.367858,0.214535,0.352936
36985,ceers-full,5.653714,6,0.056296,0.112592,403.636211,418.864179,-15.227968,1618.128365,1679.040235,-60.911870,Null wins,0.097995,0.306118,0.104370,0.318501
39094,ceers-full,4.731530,6,0.037130,0.074259,297.619594,298.333470,-0.713877,1194.061894,1196.917400,-2.855506,Neutral,0.338899,0.286028,0.339613,0.296447
40589,ceers-full,8.006711,6,0.122775,0.245551,47.626899,35.535388,12.091511,194.091117,145.725071,48.366046,Weak,0.240272,0.248527,0.390258,0.381366
41179,ceers-full,7.242250,6,0.098404,0.196809,22.400943,20.121712,2.279231,93.187292,84.070366,9.116926,Weak,0.467169,0.262023,0.469294,0.282011
41913,ceers-full,5.245997,6,0.047334,0.094668,7910.370370,8079.027728,-168.657358,31645.064999,32319.694431,-674.629432,Null wins,0.062645,0.261340,0.066151,0.271009
42093,ceers-full,6.445882,6,0.075869,0.151738,955.695141,297.046299,658.648842,3826.364081,1191.768714,2634.595367,Weak,0.072299,0.369847,0.354266,0.373477
47021,ceers-full,8.023067,6,0.123327,0.246654,12.868900,4.136131,8.732769,55.059121,20.128043,34.931077,Weak,0.438000,0.194621,0.542068,0.314385
48983,ceers-full,7.136761,6,0.095254,0.190507,376.381359,426.580727,-50.199369,1509.108954,1709.906428,-200.797475,Null wins,0.218141,0.369979,0.222423,0.396830
49360,ceers-full,4.737312,6,0.037237,0.074475,14.406165,14.115833,0.290332,61.208178,60.046849,1.161329,Weak,0.738479,0.207345,0.738556,0.215408
55490,ceers-full,7.149331,6,0.095626,0.191253,442.165984,478.941160,-36.775176,1772.247456,1919.348159,-147.100704,Null wins,0.265317,0.319866,0.269390,0.342267
57051,ceers-full,5.668079,6,0.056625,0.113251,230.113474,235.514594,-5.401121,924.037413,945.641895,-21.604482,Null wins,0.337177,0.212100,0.344436,0.219204
58630,ceers-full,4.546808,6,0.033774,0.067547,282.148602,283.620869,-1.472267,1132.177926,1138.066996,-5.889069,Null wins,0.375571,0.272284,0.376395,0.281572
59162,ceers-full,7.841130,6,0.117265,0.234531,157.227887,154.228636,2.999252,632.495069,620.498061,11.997008,Weak,0.411625,0.217639,0.537089,0.320371
59626,ceers-full,6.367115,6,0.073796,0.147592,770.753944,386.403875,384.350069,3086.599295,1549.199019,1537.400276,Weak,0.434876,0.157705,0.486682,0.199895
60774,ceers-full,5.284768,6,0.048153,0.096306,706.355567,726.683093,-20.327525,2829.005788,2910.315889,-81.310101,Null wins,0.214776,0.281527,0.219639,0.292158
61323,ceers-full,7.127027,6,0.094965,0.189931,36.273899,37.939931,-1.666032,148.679116,155.343244,-6.664128,Null wins,0.274890,0.299092,0.279342,0.319366
63106,ceers-full,5.655657,6,0.056340,0.112681,1145.359301,1177.943429,-32.584128,4585.020723,4715.357233,-130.336510,Null wins,0.298536,0.243026,0.305589,0.251823
67137,ceers-full,7.496461,6,0.106207,0.212415,60.811275,60.671680,0.139595,246.828619,246.270241,0.558378,Weak,0.411834,0.035074,0.411885,0.038068
68816,ceers-full,4.532283,6,0.033517,0.067034,89.214353,87.404931,1.809422,360.440929,353.203241,7.237688,Weak,0.344063,0.287190,0.343928,0.297382
70681,ceers-full,7.900805,6,0.119236,0.238473,35.320693,101.758707,-66.438014,144.866290,410.618347,-265.752058,Null wins,0.342024,0.264881,0.536718,0.322291
71267,ceers-full,7.517550,6,0.106868,0.213736,20.632049,21.420091,-0.788042,86.111717,89.263883,-3.152166,Neutral,0.473663,0.210120,0.477890,0.224779
71321,ceers-full,7.129320,6,0.095033,0.190066,35.682675,37.074978,-1.392304,146.314217,151.883432,-5.569215,Null wins,0.236234,0.263009,0.241016,0.280151
71380,ceers-full,7.126263,6,0.094943,0.189886,388.137690,401.330415,-13.192725,1556.134279,1608.905177,-52.770899,Null wins,0.175010,0.259976,0.179790,0.276697
72633,ceers-full,5.443396,6,0.051577,0.103155,203.603654,203.903873,-0.300219,817.998135,819.199010,-1.200875,Neutral,0.539097,0.008870,0.541672,0.007956
72956,ceers-full,8.904180,6,0.154925,0.309849,14.294973,14.840586,-0.545613,60.763413,62.945864,-2.182451,Neutral,0.431687,0.317149,0.438308,0.349068
73890,ceers-full,5.660318,6,0.056447,0.112895,39.076398,39.769168,-0.692770,159.889110,162.660189,-2.771079,Neutral,0.531324,0.163466,0.538608,0.168269
7242,primer-cosmos-west,5.658755,7,0.056411,0.112823,36.206162,36.944975,-0.738813,184.922631,188.616694,-3.694063,Neutral,0.486464,0.183734,0.494964,0.189092
8118,primer-cosmos-west,5.642418,7,0.056037,0.112075,15.453868,15.668410,-0.214542,81.161158,82.233869,-1.072711,Neutral,0.693027,0.125425,0.702054,0.127127
13074,primer-cosmos-west,5.214783,7,0.046679,0.093359,1147.034790,1183.000460,-35.965670,5739.065768,5918.894118,-179.828349,Null wins,0.081287,0.330054,0.087325,0.341988
13666,primer-cosmos-west,5.288053,7,0.048223,0.096446,44.771267,46.596101,-1.824834,227.748156,236.872327,-9.124171,Null wins,0.168894,0.307618,0.179053,0.317022
15233,primer-cosmos-west,4.986018,7,0.042021,0.084042,207.989671,202.056083,5.933588,1043.840173,1014.172233,29.667940,Weak,0.259598,0.254431,0.256436,0.266603
16152,primer-cosmos-west,5.714366,7,0.057694,0.115388,998.305664,1006.314036,-8.008371,4995.420143,5035.461999,-40.041856,Null wins,0.519575,0.161504,0.522146,0.168601
18540,primer-cosmos-west,8.933716,7,0.156049,0.312099,3.181267,3.316975,-0.135708,19.798158,20.476697,-0.678539,Neutral,0.337168,0.351709,0.343028,0.388762
21037,primer-cosmos-west,4.476105,7,0.032533,0.065066,104.811956,50.197971,54.613985,527.951602,254.881676,273.069926,Weak,0.149711,0.331641,0.322326,0.298494
21620,primer-cosmos-west,8.087144,7,0.125499,0.250998,19.646538,20.400124,-0.753586,102.124509,105.892440,-3.767931,Neutral,0.363592,0.209391,0.538710,0.318293
22379,primer-cosmos-west,5.734882,7,0.058171,0.116342,29.717768,31.065588,-1.347819,152.480662,159.219758,-6.739097,Null wins,0.174486,0.367777,0.177358,0.385823
