id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,verdict,Cb_null,Cr_null,Cb_geff,Cr_geff
14605,gds,6.928059,7,0.089170,0.178339,117.791767,115.542771,2.248996,592.850655,581.605674,11.244981,Weak,0.453257,0.111213,0.454036,0.119538
16053,gds,6.901801,7,0.088418,0.176836,10.788351,10.666685,0.121666,57.833576,57.225245,0.608330,Weak,0.601372,0.104170,0.601512,0.112228
18537,gds,4.277338,7,0.029177,0.058353,872.015133,880.241465,-8.226333,4363.967483,4405.099147,-41.131664,Null wins,0.531650,0.212752,0.532414,0.218749
22388,gds,7.181870,6,0.096595,0.193189,44029.890088,44125.302151,-95.412063,176123.143873,176504.792124,-381.648251,Null wins,0.339446,0.065590,0.340520,0.070022
23636,gds,7.132841,6,0.095137,0.190275,324.708484,342.023493,-17.315009,1302.417455,1371.677491,-69.260036,Null wins,0.260139,0.305482,0.263965,0.327102
23868,gds,8.927632,7,0.155817,0.311635,18.918328,19.610815,-0.692487,98.483460,101.945896,-3.462436,Neutral,0.219678,0.400866,0.226841,0.442176
29303,gds,5.985975,7,0.064160,0.128321,299.379570,305.703059,-6.323489,1500.789670,1532.407116,-31.617447,Null wins,0.521521,0.155955,0.528584,0.160752
32147,gds,4.603241,7,0.034781,0.069563,1452.890294,1484.680849,-31.790556,7268.343289,7427.296067,-158.952778,Null wins,0.476746,0.263539,0.478291,0.272267
32402,gds,4.942438,7,0.041162,0.082323,93.106835,95.173351,-2.066516,469.425997,479.758577,-10.332580,Null wins,0.431244,0.170821,0.434029,0.176397
35367,gds,5.489472,7,0.052594,0.105188,1933.989867,1989.195050,-55.205184,9673.841155,9949.867072,-276.025918,Null wins,0.084918,0.334602,0.086494,0.350105
37563,gds,5.713144,7,0.057666,0.115331,269.711408,270.650157,-0.938748,1352.448863,1357.142603,-4.693740,Neutral,0.567366,0.017986,0.569412,0.017765
39509,gds,4.287679,7,0.029346,0.058693,55.268781,56.240322,-0.971541,280.235723,285.093429,-4.857706,Neutral,0.416340,0.237261,0.417676,0.243852
