id,field,z_phot,ha_observed_um,ha_instrument,nirspec_programs,has_spectrum,ha_flux,ha_fwhm_kms,ha_ew_angstrom,ha_snr,oiii_flux,oiii_ew,hb_flux,z_spec
69921,primer-uds-north,5.6548767,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
69936,primer-uds-north,7.0339665,5.27,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
70423,primer-uds-north,5.4776564,4.25,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
70813,primer-uds-north,4.7062697,3.74,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
71037,primer-uds-north,6.849483,5.15,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
71893,primer-uds-north,6.429184,4.88,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
4278,primer-cosmos-east,5.6582265,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
6282,primer-cosmos-east,5.673777,4.38,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
9227,primer-cosmos-east,5.713857,4.41,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
10696,primer-cosmos-east,5.6677623,4.38,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
11967,primer-cosmos-east,5.482298,4.25,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
14086,primer-cosmos-east,7.127323,5.33,MIRI (unlikely),1209|1895,False,,,,,,,,
14487,primer-cosmos-east,7.1692533,5.36,MIRI (unlikely),1209|1895,False,,,,,,,,
15393,primer-cosmos-east,5.68946,4.39,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
15850,primer-cosmos-east,7.0456376,5.28,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
16083,primer-cosmos-east,4.57788,3.66,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
16408,primer-cosmos-east,4.574863,3.66,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
16563,primer-cosmos-east,5.0219927,3.95,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
17813,primer-cosmos-east,5.226693,4.09,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
18893,primer-cosmos-east,4.8477397,3.84,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
19462,primer-cosmos-east,4.365069,3.52,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
19946,primer-cosmos-east,5.974449,4.58,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
20187,primer-cosmos-east,6.6081676,4.99,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
21943,primer-cosmos-east,4.7154994,3.75,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
23571,primer-cosmos-east,4.760719,3.78,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
26971,primer-cosmos-east,6.4066525,4.86,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
27072,primer-cosmos-east,4.957128,3.91,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
27765,primer-cosmos-east,5.1726418,4.05,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
31668,primer-cosmos-east,5.6076913,4.34,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
31770,primer-cosmos-east,5.77907,4.45,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
32928,primer-cosmos-east,4.4581003,3.58,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
40209,primer-cosmos-east,5.4609075,4.24,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
40642,primer-cosmos-east,4.63434,3.7,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
40799,primer-cosmos-east,7.681151,5.7,MIRI (unlikely),1209|1895,False,,,,,,,,
42464,primer-cosmos-east,5.3674827,4.18,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
43445,primer-cosmos-east,5.696871,4.4,NIRSpec (F100LP+G140H/F170LP+G235H),1209|1895,False,,,,,,,,
45179,primer-cosmos-east,7.1054926,5.32,MIRI (unlikely),1209|1895,False,,,,,,,,
