id,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
37878,primer-uds-south,4.773,0.01786,9.91,9.64,0.28,37.5,36.7,0.8,0.0,0.315,0.0789,1.003,4.25,Neutral,7
39711,primer-uds-south,5.462,0.02449,19.23,19.26,-0.03,65.5,65.5,-0.1,0.0,0.031,0.6537,0.01,4.24,Neutral,7
44435,primer-uds-south,5.173,0.02159,49.45,49.61,-0.16,156.1,156.6,-0.5,0.0,0.237,0.2413,0.01,10.87,Neutral,7
45383,primer-uds-south,4.855,0.0186,9.02,9.08,-0.06,34.8,35.0,-0.2,0.0,0.266,0.3554,0.01,4.28,Neutral,7
45637,primer-uds-south,4.536,0.01583,356.8,354.98,1.82,1078.2,1072.7,5.5,0.0,0.265,0.1439,0.742,3.17,Neutral,7
47509,primer-uds-south,5.659,0.02659,153.86,154.74,-0.88,469.4,472.0,-2.6,0.0,0.1,0.5737,0.01,4.74,Neutral,7
48686,primer-uds-south,4.844,0.01849,1.38,1.36,0.02,11.9,11.9,0.0,0.0,0.255,0.1044,0.906,3.27,Neutral,7
48982,primer-uds-south,5.388,0.02373,105.91,107.04,-1.13,325.5,328.9,-3.4,0.0,0.192,0.3472,0.01,7.34,Neutral,7
50716,primer-uds-south,7.864,0.0556,40.27,41.37,-1.1,128.6,131.9,-3.3,0.0,0.265,0.2677,0.01,12.93,Neutral,7
51593,primer-uds-south,4.458,0.01518,153.44,32.12,121.33,468.1,104.1,364.0,0.0,0.326,0.1824,0.29,17.28,Support,7
52581,primer-uds-south,6.167,0.03235,942.84,952.8,-9.96,2836.3,2866.2,-29.9,0.0,0.297,0.1761,0.01,10.02,Null wins,7
55634,primer-uds-south,6.88,0.04137,133.89,132.77,1.12,409.5,406.1,3.4,0.0,0.142,0.1152,0.775,1.66,Neutral,7
55783,primer-uds-south,4.626,0.01658,570.3,571.3,-1.0,1718.7,1721.7,-3.0,0.0,0.2,0.2329,0.01,6.8,Neutral,7
57494,primer-uds-south,4.024,0.01187,1614.62,1619.82,-5.21,4851.6,4867.3,-15.6,0.0,0.185,0.4858,0.01,5.17,Null wins,7
59568,primer-uds-south,8.902,0.07295,11.94,12.14,-0.2,43.6,44.2,-0.6,0.0,0.286,0.4366,0.01,8.96,Neutral,7
59880,primer-uds-south,5.663,0.02663,22.14,22.22,-0.08,74.2,74.4,-0.2,0.0,0.074,0.4822,0.01,8.79,Neutral,7
59971,primer-uds-south,5.392,0.02377,13.66,13.68,-0.01,48.8,48.8,-0.0,0.0,0.01,0.2886,0.01,3.62,Neutral,7
60046,primer-uds-south,5.463,0.0245,39.68,39.68,-0.0,126.8,126.8,-0.0,0.0,0.0,0.6008,0.01,2.46,Neutral,7
60446,primer-uds-south,4.366,0.01444,202.7,204.65,-1.95,615.9,621.7,-5.9,0.0,0.256,0.3137,0.01,10.71,Neutral,7
62395,primer-uds-south,5.659,0.02658,697.51,704.07,-6.56,2100.3,2120.0,-19.7,0.0,0.192,0.2325,0.01,12.46,Null wins,7
66511,primer-uds-south,7.131,0.0448,1760.28,1788.61,-28.33,5288.6,5373.6,-85.0,0.0,0.285,0.1115,0.01,40.22,Null wins,7
67076,primer-uds-south,7.937,0.05675,138.81,140.82,-2.01,424.2,430.3,-6.0,0.0,0.181,0.3865,0.01,5.8,Null wins,7
68947,primer-uds-south,5.656,0.02655,2194.04,2214.95,-20.91,6589.9,6652.6,-62.7,0.0,0.22,0.1337,0.01,17.99,Null wins,7
69772,primer-uds-south,5.429,0.02416,1029.19,1038.51,-9.32,3095.4,3123.3,-28.0,0.0,0.202,0.239,0.01,10.35,Null wins,7
6756,ceers-full,7.136,0.04487,40.86,43.65,-2.79,88.9,94.5,-5.6,0.0,0.352,0.2295,0.01,8.91,Null wins,6
9246,ceers-full,4.604,0.0164,235.58,231.37,4.21,478.3,469.9,8.4,0.0,0.306,0.0951,0.649,7.99,Weak,6
12234,ceers-full,6.142,0.03205,844.94,857.57,-12.63,1697.1,1722.3,-25.3,0.0,0.283,0.2761,0.01,6.47,Null wins,6
12544,ceers-full,4.55,0.01594,115.65,115.4,0.25,238.5,238.0,0.5,0.0,0.245,0.1351,0.773,3.36,Neutral,6
13736,ceers-full,5.357,0.02342,185.56,190.09,-4.53,378.3,387.3,-9.1,0.0,0.285,0.308,0.01,10.25,Null wins,6
14076,ceers-full,5.661,0.02661,66.61,66.9,-0.3,140.4,141.0,-0.6,0.0,0.093,0.6689,0.01,4.56,Neutral,6
19354,ceers-full,5.428,0.02414,302.59,308.66,-6.07,612.4,624.5,-12.1,0.0,0.346,0.1797,0.01,11.06,Null wins,6
20010,ceers-full,8.934,0.07354,5.92,5.95,-0.03,19.0,19.1,-0.1,0.108,0.301,0.3187,0.01,3.96,Neutral,6
20632,ceers-full,5.653,0.02652,837.75,849.1,-11.36,1682.7,1705.4,-22.7,0.0,0.255,0.1743,0.01,13.65,Null wins,6
20897,ceers-full,4.533,0.0158,797.64,786.68,10.96,1602.5,1580.5,21.9,0.0,0.35,0.0817,0.368,29.35,Support,6
22049,ceers-full,7.135,0.04486,452.08,455.83,-3.75,911.3,918.8,-7.5,0.0,0.142,0.358,0.01,10.71,Null wins,6
22239,ceers-full,7.131,0.04481,49.98,50.96,-0.98,107.1,109.1,-2.0,0.0,0.299,0.1157,0.01,30.53,Neutral,6
23054,ceers-full,6.868,0.04121,1.8,1.79,0.01,10.8,10.7,0.0,0.492,0.299,0.0,4.0,5.42,Neutral,6
24464,ceers-full,5.655,0.02654,733.12,738.36,-5.24,1473.4,1483.9,-10.5,0.0,0.134,0.4391,0.01,7.18,Null wins,6
28748,ceers-full,4.753,0.01768,1258.23,1259.23,-1.0,2523.6,2525.6,-2.0,0.0,0.299,0.217,0.01,10.22,Neutral,6
29421,ceers-full,4.785,0.01797,990.53,990.71,-0.18,1988.2,1988.6,-0.4,0.314,0.257,0.0,0.424,4.25,Neutral,6
30600,ceers-full,4.026,0.01188,33.04,33.35,-0.3,73.3,73.9,-0.6,0.0,0.308,0.278,0.01,9.93,Neutral,6
36886,ceers-full,4.45,0.01512,792.29,404.42,387.87,1591.7,816.0,775.7,0.0,0.288,0.2624,0.01,8.34,Support,6
36985,ceers-full,5.654,0.02653,746.69,757.61,-10.92,1500.5,1522.4,-21.8,0.0,0.251,0.1959,0.01,14.44,Null wins,6
39094,ceers-full,4.732,0.01749,588.26,588.31,-0.06,1183.7,1183.8,-0.1,0.0,0.259,0.2353,0.212,4.81,Neutral,6
40589,ceers-full,8.007,0.05785,87.67,89.16,-1.49,182.5,185.5,-3.0,0.0,0.218,0.2786,0.01,6.7,Neutral,6
41179,ceers-full,7.242,0.04637,41.57,39.48,2.08,90.3,86.1,4.2,0.0,0.288,0.131,0.66,3.56,Weak,6
41913,ceers-full,5.246,0.0223,15232.62,15364.03,-131.41,30472.4,30735.2,-262.8,0.0,0.232,0.1135,0.01,24.57,Null wins,6
42093,ceers-full,6.446,0.03575,1778.42,368.69,1409.73,3564.0,744.5,2819.5,0.0,0.307,0.3687,0.01,16.71,Support,6
47021,ceers-full,8.023,0.05811,21.84,22.05,-0.22,50.8,51.3,-0.4,0.0,0.127,0.5087,0.01,3.77,Neutral,6
48983,ceers-full,7.137,0.04488,496.53,529.32,-32.79,1000.2,1065.8,-65.6,0.0,0.347,0.2402,0.01,11.93,Null wins,6
49360,ceers-full,4.737,0.01755,27.17,26.99,0.18,61.5,61.1,0.4,0.0,0.239,0.2164,0.641,3.04,Neutral,6
55490,ceers-full,7.149,0.04506,671.73,695.74,-24.01,1350.6,1398.6,-48.0,0.0,0.288,0.2917,0.01,8.62,Null wins,6
57051,ceers-full,5.668,0.02668,384.17,386.61,-2.44,775.5,780.4,-4.9,0.0,0.116,0.4498,0.01,5.97,Null wins,6
58630,ceers-full,4.547,0.01591,544.68,545.02,-0.34,1096.5,1097.2,-0.7,0.0,0.215,0.3579,0.054,6.4,Neutral,6
59162,ceers-full,7.841,0.05525,278.13,284.73,-6.61,563.4,576.6,-13.2,0.356,0.248,0.0,4.0,4.81,Null wins,6
59626,ceers-full,6.367,0.03477,1417.59,776.05,641.54,2842.3,1559.3,1283.1,0.0,0.206,0.1521,0.608,3.51,Support,6
60774,ceers-full,5.285,0.02269,1241.33,1254.5,-13.17,2489.8,2516.2,-26.3,0.0,0.221,0.2852,0.01,7.49,Null wins,6
61323,ceers-full,7.127,0.04475,52.57,53.65,-1.08,112.3,114.5,-2.2,0.0,0.255,0.3229,0.01,8.77,Neutral,6
63106,ceers-full,5.656,0.02655,1911.86,1929.43,-17.57,3830.9,3866.0,-35.1,0.0,0.158,0.3976,0.01,6.9,Null wins,6
67137,ceers-full,7.496,0.05004,21.03,21.3,-0.26,49.2,49.8,-0.5,0.0,0.116,0.0197,1.484,1.57,Neutral,6
68816,ceers-full,4.532,0.01579,178.16,176.44,1.72,363.5,360.0,3.4,0.0,0.286,0.1504,0.439,12.35,Neutral,6
70681,ceers-full,7.901,0.05618,68.81,70.43,-1.62,144.8,148.0,-3.2,0.13,0.245,0.2346,0.01,6.41,Neutral,6
71267,ceers-full,7.518,0.05035,39.6,40.13,-0.52,86.4,87.4,-1.0,0.152,0.176,0.3417,0.01,4.01,Neutral,6
71321,ceers-full,7.129,0.04478,64.46,65.48,-1.02,136.1,138.1,-2.0,0.0,0.234,0.2606,0.01,8.69,Neutral,6
71380,ceers-full,7.126,0.04473,729.67,740.0,-10.33,1466.5,1487.2,-20.7,0.0,0.24,0.1944,0.01,15.0,Null wins,6
72633,ceers-full,5.443,0.0243,289.93,292.43,-2.5,587.0,592.0,-5.0,0.355,0.074,0.0,4.0,2.27,Null wins,6
72956,ceers-full,8.904,0.073,12.78,12.97,-0.19,32.7,33.1,-0.4,0.0,0.273,0.4621,0.01,4.78,Neutral,6
73890,ceers-full,5.66,0.0266,59.72,59.83,-0.1,126.6,126.8,-0.2,0.0,0.03,0.6607,0.01,4.28,Neutral,6
7242,primer-cosmos-west,5.659,0.02658,46.49,46.58,-0.09,147.3,147.5,-0.3,0.0,0.034,0.6628,0.01,3.55,Neutral,7
8118,primer-cosmos-west,5.642,0.0264,16.22,16.22,0.0,56.4,56.4,0.0,0.0,0.0,0.7849,0.01,3.24,Neutral,7
13074,primer-cosmos-west,5.215,0.02199,1792.08,1813.22,-21.14,5384.0,5447.4,-63.4,0.0,0.266,0.1974,0.01,14.26,Null wins,7
13666,primer-cosmos-west,5.288,0.02272,63.41,64.2,-0.78,198.0,200.4,-2.4,0.0,0.19,0.3683,0.01,7.72,Neutral,7
15233,primer-cosmos-west,4.986,0.0198,332.14,327.2,4.94,1004.2,989.4,14.8,0.0,0.288,0.0393,0.967,8.5,Weak,7
16152,primer-cosmos-west,5.714,0.02718,1564.47,1565.69,-1.23,4701.2,4704.9,-3.7,0.0,0.061,0.5922,0.01,3.12,Neutral,7
18540,primer-cosmos-west,8.934,0.07353,3.22,3.26,-0.04,17.4,17.6,-0.1,0.0,0.32,0.3682,0.01,6.46,Neutral,7
21037,primer-cosmos-west,4.476,0.01533,172.94,83.57,89.37,526.6,258.5,268.1,0.0,0.31,0.0833,0.707,16.81,Support,7
21620,primer-cosmos-west,8.087,0.05913,26.18,26.65,-0.47,86.3,87.7,-1.4,0.0,0.169,0.4006,0.01,6.67,Neutral,7
22379,primer-cosmos-west,5.735,0.02741,44.27,44.99,-0.73,140.6,142.8,-2.2,0.0,0.322,0.2379,0.01,10.69,Neutral,7
