id,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
23868,gds,8.928,0.07342,23.89,24.2,-0.31,79.5,80.4,-0.9,0.0,0.377,0.2628,0.01,12.5,Neutral,7
29303,gds,5.986,0.03023,386.02,386.67,-0.66,1165.8,1167.8,-2.0,0.0,0.025,0.6638,0.01,3.68,Neutral,7
32147,gds,4.603,0.01639,2257.69,2270.97,-13.28,6780.8,6820.7,-39.8,0.084,0.194,0.412,0.01,5.26,Null wins,7
32402,gds,4.942,0.01939,121.13,121.68,-0.56,371.2,372.8,-1.7,0.0,0.078,0.4935,0.01,4.8,Neutral,7
35367,gds,5.489,0.02478,3118.33,3153.75,-35.42,9362.8,9469.0,-106.3,0.0,0.322,0.1019,0.01,16.02,Null wins,7
37563,gds,5.713,0.02717,389.52,391.78,-2.25,1176.4,1183.1,-6.8,0.467,0.053,0.0001,3.315,2.09,Null wins,7
39509,gds,4.288,0.01383,73.78,73.98,-0.2,229.1,229.7,-0.6,0.0,0.111,0.5415,0.01,5.07,Neutral,7
41129,gds,7.133,0.04483,492.15,502.72,-10.56,1484.2,1515.9,-31.7,0.0,0.333,0.0985,0.01,32.54,Null wins,7
44531,gds,7.124,0.0447,32.04,32.86,-0.82,71.2,72.9,-1.6,0.0,0.257,0.3716,0.01,6.84,Neutral,6
45202,gds,7.131,0.0448,803.2,822.44,-19.24,2417.4,2475.1,-57.7,0.0,0.323,0.1444,0.01,20.93,Null wins,7
46221,gds,4.045,0.01202,422.94,424.65,-1.71,1276.6,1281.7,-5.1,0.0,0.154,0.5727,0.01,5.11,Neutral,7
46281,gds,4.79,0.01801,13.74,13.73,0.01,49.0,49.0,0.0,0.329,0.339,0.0,4.0,6.85,Neutral,7
51983,gds,7.135,0.04486,381.64,388.78,-7.13,1152.7,1174.1,-21.4,0.0,0.306,0.1511,0.01,12.24,Null wins,7
52017,gds,6.331,0.03433,335.86,337.01,-1.15,1015.4,1018.8,-3.4,0.0,0.065,0.6382,0.01,3.73,Neutral,7
64049,gds,5.271,0.02255,94.66,95.57,-0.91,291.8,294.5,-2.7,0.0,0.173,0.4326,0.01,6.88,Neutral,7
65646,gds,5.658,0.02657,1477.96,1485.89,-7.93,4441.7,4465.5,-23.8,0.0,0.112,0.3357,0.01,9.67,Null wins,7
66116,gds,6.846,0.04092,55.34,57.2,-1.87,173.8,179.4,-5.6,0.055,0.336,0.2766,0.01,7.23,Neutral,7
