id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
33774,primer-uds-north,7.1376,7,0.094488,0.188976,11.5045,9.3842,2.1202,27.23,22.99,4.24,0.9999,0.9999,-2.8499,-3.0000,1319.5741,0.0507,2094.0025,0.0000,Weak
35111,primer-uds-north,5.6563,7,0.094465,0.188930,9.8771,9.8771,0.0000,23.98,23.98,0.00,1.0000,1.0000,-2.6900,-2.6900,5286.0231,311.1583,10471.1275,674.6061,Neutral
36327,primer-uds-north,7.8617,7,0.094492,0.188984,3.5993,3.5993,-0.0000,11.42,11.42,-0.00,0.9999,0.9998,-2.0611,-2.0611,591.0993,0.0000,262.6498,0.0000,Neutral
42014,primer-uds-north,4.5516,6,0.094406,0.188811,68.1197,68.1197,0.0000,72.01,72.01,0.00,1.0000,1.0000,-1.0111,-1.0111,408.7011,155.0403,428.1893,0.0000,Neutral
42859,primer-uds-north,6.5809,7,0.094482,0.188965,332.9871,332.9871,0.0000,670.20,670.20,0.00,1.0000,0.9999,-2.0118,-2.0117,402.8759,0.0039,0.0000,0.0000,Neutral
43738,primer-uds-north,5.0901,7,0.094443,0.188887,301.2732,301.2731,0.0000,606.77,606.77,0.00,1.0000,0.9997,-2.0963,-2.0963,0.1683,108.4495,0.0000,0.6652,Neutral
43932,primer-uds-north,4.2354,7,0.094369,0.188738,170.5410,170.5410,0.0000,345.31,345.31,0.00,0.0166,0.0057,-1.0277,-1.0277,0.0000,0.0000,0.0000,0.0000,Neutral
44053,primer-uds-north,5.4381,7,0.094458,0.188916,7.2500,7.2500,0.0000,18.73,18.73,0.00,1.0000,1.0000,-3.0000,-3.0000,0.0033,11916.3212,11.7571,113532.5768,Neutral
44681,primer-uds-north,4.5812,7,0.094408,0.188817,593.2578,593.2578,0.0000,1190.74,1190.74,0.00,0.1078,1.0000,-1.1997,-1.1998,0.0000,0.0000,98.6798,0.0000,Neutral
46085,primer-uds-north,4.7858,7,0.094425,0.188850,10439.1765,10439.1765,0.0000,20882.58,20882.58,0.00,1.0000,1.0000,-1.5505,-1.5504,0.0000,0.0000,0.0624,0.1024,Neutral
48927,primer-uds-north,7.9073,6,0.094492,0.188985,17.8290,16.2895,1.5395,21.72,20.18,1.54,0.9999,1.0000,-2.5807,-3.0000,0.0442,37.9088,1438.0343,81.9136,Neutral
52141,primer-uds-north,7.1301,7,0.094488,0.188976,11.0900,11.0900,-0.0000,26.41,26.41,-0.00,0.9999,0.9999,-3.0000,-3.0000,2220.7498,0.0000,2180.4493,0.0000,Neutral
52856,primer-uds-north,6.3209,7,0.094479,0.188958,52.3833,52.3833,-0.0000,108.99,108.99,-0.00,0.0899,0.9997,-1.4830,-1.4830,0.2104,0.0000,611.4262,0.0000,Neutral
53667,primer-uds-north,4.5639,7,0.094407,0.188814,664.9614,664.9614,0.0000,1334.15,1334.15,0.00,1.0000,1.0000,-1.4181,-1.4181,0.1227,0.0235,0.0552,0.2911,Neutral
54143,primer-uds-north,4.7315,7,0.094421,0.188842,37.0953,37.0953,0.0000,78.42,78.42,0.00,1.0000,0.0752,-1.1123,-1.1123,0.1462,54.8295,0.0000,0.0006,Neutral
54603,primer-uds-north,5.6519,7,0.094465,0.188930,12.0478,12.0478,0.0000,28.32,28.32,0.00,0.9997,0.9997,-2.4499,-2.4498,432.0459,3.4160,434.1331,3.7569,Neutral
55902,primer-uds-north,8.6704,7,0.094495,0.188990,22.4916,22.4916,0.0000,49.21,49.21,0.00,1.0000,1.0000,-3.0000,-3.0000,0.8106,28255.4779,0.4787,10034.5557,Neutral
56783,primer-uds-north,5.3134,7,0.094453,0.188907,4.3455,4.3455,-0.0000,12.92,12.92,-0.00,1.0000,1.0000,-2.7818,-2.7818,0.0000,199.1266,0.0000,251.1235,Neutral
57469,primer-uds-north,5.6680,7,0.094465,0.188931,233.8831,233.8831,0.0000,471.99,471.99,0.00,0.9835,0.7167,-2.1564,-2.1566,6.5992,0.2388,0.3856,0.0153,Neutral
57944,primer-uds-north,5.2898,7,0.094452,0.188905,11.9123,11.9123,-0.0000,28.05,28.05,-0.00,0.9998,0.9999,-2.5453,-2.5453,738.8389,3.4170,970.2226,4.9097,Neutral
61010,primer-uds-north,7.1342,6,0.094488,0.188976,3.7128,3.7128,0.0000,7.60,7.60,0.00,0.9999,0.9999,-2.7603,-2.7604,887.8149,27.8982,1130.6369,38.8775,Neutral
61298,primer-uds-north,5.2426,7,0.094450,0.188901,43.7619,43.7619,-0.0000,91.75,91.75,-0.00,1.0000,1.0000,-2.9825,-2.9825,13127.9620,0.0000,9898.3822,0.0000,Neutral
61378,primer-uds-north,7.4583,6,0.094490,0.188980,52.0408,52.0408,0.0000,55.93,55.93,0.00,0.9989,0.9989,-2.2867,-2.2867,139.0221,0.1119,141.6565,0.1249,Neutral
62716,primer-uds-north,5.3867,7,0.094456,0.188912,28.1134,28.1133,0.0000,60.45,60.45,0.00,1.0000,1.0000,-1.5964,-1.5964,0.2566,162.5958,0.3937,30326.8668,Neutral
64273,primer-uds-north,7.1316,6,0.094488,0.188976,24.6012,24.6012,-0.0000,28.49,28.49,-0.00,1.0000,1.0000,-3.0000,-3.0000,0.0004,933.6986,0.0000,385.3667,Neutral
66007,primer-uds-north,4.5963,7,0.094410,0.188820,36.8686,36.8686,-0.0000,77.96,77.96,-0.00,1.0000,1.0000,-1.5785,-1.5785,74.8506,0.0000,210.5564,0.0000,Neutral
