SDSS_NAME,RA,DEC,Z,LORD_TYPE,AUTOCLASS,PSFMAG_U,PSFMAG_G,PSFMAG_R,PSFMAG_I,PSFMAG_Z
122117.19+113406.4,185.3216401529517,11.568448450764098,0.379,red2,QSO,21.459248,21.38172,20.314632,19.770967,19.211218
122142.62+592840.6,185.4275980407981,59.47795544944481,0.7443526983261108,red1,QSO,22.417263,21.946432,21.46559,20.823338,20.439928
122205.07+381221.0,185.52114793167902,38.20584126021579,0.7837997078895569,red1,QSO,21.660303,21.341118,21.213564,20.619434,20.212984
122209.72+503448.0,185.54052581477947,50.580012544272144,0.7064865827560425,red1,QSO,21.48468,20.686605,21.288586,20.217812,20.009995
122440.28+013029.6,186.16784462932986,1.5082421988890315,0.836,red1,UNK,22.78216,22.328804,21.805992,20.748808,20.523603
122558.71+512726.1,186.49465675409587,51.457258649764356,0.7737703323364258,red1,QSO,21.728315,21.342003,21.046291,20.569883,20.009073
122849.57+495654.4,187.20654306660288,49.948465264242145,0.725836992263794,red1,QSO,22.693232,22.352507,21.565502,20.982437,20.155333
122920.60+501632.9,187.33584309809007,50.27581018515646,0.8220278024673462,red1,QSO,22.567993,21.9736,21.5664,20.973639,20.156849
122928.26+192747.0,187.3677886156441,19.46307144773391,0.415,red2,UNK,21.670692,20.917751,20.036255,19.536205,18.821817
122933.47+160157.5,187.3894905423728,16.03264083231479,0.415,red2,UNK,21.713762,21.011457,19.71093,19.039955,18.55251
122959.61+374023.8,187.49839029919997,37.67330218697782,0.37918341159820557,red2,QSO,21.357265,21.284443,21.130253,20.878735,19.932573
123010.63+560624.7,187.54430754331162,56.10687897125858,0.7700940370559692,red1,QSO,22.659304,21.978395,21.609652,21.168762,20.577984
123357.04+125855.9,188.4877080743678,12.982217050888277,0.35,red2,QSO,22.238539,21.620296,20.541265,19.950958,19.376549
123428.11+571216.2,188.6171304492666,57.20451402331587,0.42863303422927856,red2,QSO,22.993132,22.672775,21.338512,20.692848,20.30306
123704.75+173040.4,189.26981504338437,17.511223787938153,0.428,red2,UNK,22.236412,21.852612,20.503962,19.744663,19.23572
123713.88+372703.7,189.30786753017492,37.45104424948036,0.7982681393623352,red1,QSO,23.029789,22.264126,21.5831,21.09097,20.446815
123806.85+211403.2,189.5285426246047,21.234244448279483,0.44,red2,UNK,21.220163,20.842003,20.249575,19.668447,19.187466
123816.88+513232.7,189.5703395802155,51.54244080500749,0.7759578824043274,red1,QSO,21.906094,21.5663,21.187317,20.683693,20.06988
123833.55+355547.2,189.6397981676082,35.92980149784654,0.7970388531684875,red1,QSO,22.786789,22.032194,21.622122,21.143673,20.594074
123855.87+535510.5,189.73280791514205,53.91959538744099,0.7400000095367432,red1,VI,22.099745,22.112202,21.917946,21.649862,20.763395
123933.02+513208.8,189.88759292539078,51.53578481192766,0.8443266749382019,red1,QSO,22.082537,21.421665,21.145994,20.71545,20.133255
124008.36+464140.0,190.03486660041153,46.69444679012379,0.8465011715888977,red1,QSO,23.135487,24.394491,22.041933,21.212355,20.446577
124048.35+421334.8,190.20149741823639,42.22634895781106,0.857,red1,QSO,22.894388,22.508589,21.17175,20.440386,19.746897
124050.32+493420.4,190.20970434113406,49.572346204103866,0.8555323481559753,red1,QSO,22.911835,23.210667,22.376963,21.29588,20.548159
124106.44-023530.5,190.27687425862467,-2.5918208889090035,0.388,red2,QSO,22.158234,22.081865,21.668339,21.106865,20.563227
124115.36+444157.1,190.31401724446474,44.69919510144708,0.747,red1,QSO,22.545738,21.929874,21.820314,21.357086,20.558891
124132.88+452312.1,190.38700917545285,45.38670071096978,0.7353006601333618,red1,QSO,22.536423,22.132326,21.552557,20.995853,20.167782
124205.41+111728.4,190.52257072925596,11.291245315069851,0.407,red2,QSO,20.847029,20.653282,19.837847,19.309381,18.763502
124250.28+130416.7,190.7095190561879,13.07130728228572,0.75,red1,QSO,20.012129,19.475916,20.566807,19.62198,19.372314
124313.98+501059.7,190.8082543423343,50.183270717344065,0.7980674505233765,red1,QSO,22.519087,21.814308,21.589895,21.150204,20.372444
124347.34+315853.9,190.94727316597607,31.981643147992333,0.8522889614105225,red1,QSO,22.344328,22.143991,22.094044,21.562553,21.018232
124444.65+465045.9,191.18606159115313,46.84610179196232,0.8769465684890747,red1,QSO,24.359905,24.75559,23.041378,22.026083,20.743399
124447.57+110728.0,191.19822319467713,11.12446833862486,0.706,red1,UNK,21.948097,21.303383,20.601349,20.016497,19.527447
124616.86+424422.5,191.57026509471314,42.739601716750656,0.3954790234565735,red2,QSO,21.4157,20.890902,20.411423,19.866905,19.30679
124648.19+313619.2,191.70082713705963,31.60536090804351,0.8014347553253174,red1,QSO,21.440449,21.324669,21.296944,20.941511,20.071095
124713.49+482706.6,191.80624418477055,48.45184611840997,0.6866762042045593,red1,QSO,22.211348,21.96586,21.156414,20.614899,19.81616
124746.68+135616.9,191.94450661567595,13.938040554630101,0.31,red2,QSO,21.763805,21.055853,19.833961,19.339632,18.736279
124811.28+184434.9,192.04700553607614,18.743033280420743,0.437,red2,UNK,22.350956,21.858578,20.931063,20.261396,19.574602
124836.09+424259.3,192.15041256288504,42.71648398856896,0.682,red1,QSO,23.640133,23.15379,21.564192,21.017193,20.368402
124906.97+465848.2,192.2790658568752,46.98005744858745,0.740062952041626,red1,QSO,22.27666,22.035364,21.752182,20.942741,20.153896
124940.76+314416.6,192.41985185172717,31.737952112107322,0.8682916760444641,red1,QSO,22.035696,21.526417,20.974504,20.52581,19.944431
