id,field,ra,dec,z_phot,F444W_mag,r_eff_50_phys,r_eff_arcsec,SB_F444W,logSigma_Mstar,logMstar_best,verdict
1072,primer-uds-north,34.3722360084715,-5.210033954791225,8.90596,33.39759372595346,78.83757820174078,0.017174600087720242,25.814901573983303,6.6865334504131635,10.48,Neutral
1381,primer-uds-north,34.44098752394927,-5.209337115813178,5.6625967,34.22455352002059,120.01283584270938,0.01992961655870492,26.96492291702441,5.09154460394576,9.25,Neutral
1470,primer-uds-north,34.26054886084535,-5.209163222784578,5.3967586,33.73980137998774,146.5718278440177,0.02373019694184118,26.859182774385825,5.2678989923725865,9.6,Neutral
1544,primer-uds-north,34.37741275217305,-5.209022814691235,5.463462,33.849223099841346,120.55093383660046,0.01964294932653392,26.558131263005073,5.617658842103345,9.78,Neutral
1939,primer-uds-north,34.40309780563553,-5.208186294435946,4.3620567,32.724018053591294,99.5346059965892,0.014535056759484568,24.778976395488314,5.114051796691536,9.11,Support
3992,primer-uds-north,34.36730351221929,-5.204195880674563,5.6593285,32.028195989733014,79.56723036871635,0.013209041460864157,23.875427188245986,5.8785315177981055,9.68,Null wins
7991,primer-uds-north,34.293687121322456,-5.196476661896288,5.655741,31.179728286658325,127.5731514212076,0.021171372648324655,24.051348050712583,5.448481432052767,9.66,Null wins
8559,primer-uds-north,34.465426118959,-5.195332718715463,7.9365425,33.040064882397246,85.23854166436611,0.017240951675866752,25.46574573705467,6.668727978369365,10.53,Null wins
10404,primer-uds-north,34.46287218271903,-5.191959925492854,5.6559963,31.751236904537002,83.28728747516016,0.013822256133630825,23.697006268328654,5.668842563830216,9.51,Null wins
11219,primer-uds-north,34.47112649680852,-5.190443847236024,5.4287095,31.76680214330797,69.45012848458238,0.011278717199544023,23.270975361914573,6.246653892938591,9.93,Neutral
14419,primer-uds-north,34.39917769351939,-5.184322969859979,4.8167844,32.884528807191565,101.3688073269726,0.015502069792376439,25.079351927970567,5.218191326491235,9.23,Support
15257,primer-uds-north,34.431864205539185,-5.182779988252042,6.9201365,33.3089139829975,96.35690251750648,0.0179216658830796,25.81868054688868,6.0922343385009,10.06,Neutral
16999,primer-uds-north,34.508057817800164,-5.1800837790157175,4.2059326,31.026605699960662,123.57814740257558,0.01775822035885374,23.51647758557112,5.176116639425424,9.36,Support
18804,primer-uds-north,34.363515044768505,-5.176963791951121,4.3172913,31.883826050111832,104.11764122760248,0.015134526615348032,24.026544939064213,5.684951358679198,9.72,Support
18892,primer-uds-north,34.268908020655076,-5.176721823124139,4.729469,33.09705989140475,90.50174813927704,0.013719330985322433,25.026599242068492,5.086686063691049,9.0,Neutral
19416,primer-uds-north,34.46076321349001,-5.175813201579843,5.433182,33.78852020658517,167.72615035565858,0.027250481254418164,27.2082657707953,5.100798441636021,9.55,Neutral
21108,primer-uds-north,34.36296344400555,-5.17319980462139,7.1364045,33.318717641045545,81.31058340571161,0.015404058957882563,25.49976818369835,5.95970584569849,9.78,Neutral
22773,primer-uds-north,34.43898594228325,-5.170543086397919,4.401274,32.691382474764296,101.92125161603352,0.014943576305134437,24.806529884096648,5.573470503482928,9.59,Support
23575,primer-uds-north,34.408019900593665,-5.16914658540713,5.6605954,32.79433839069537,95.52958794710352,0.01586086927983927,25.03884800155422,5.579724191031785,9.54,Support
24081,primer-uds-north,34.34620665884841,-5.168197042479149,5.6564054,32.596534793536414,77.0447797884074,0.012786751906351397,24.373210669792737,5.866513563622258,9.64,Null wins
24100,primer-uds-north,34.44288277802616,-5.168180429149539,4.991886,32.37237874613325,86.23758336823218,0.013420221324959207,24.25405181903639,5.938606844401567,9.81,Neutral
29106,primer-uds-north,34.331642955166934,-5.159233119107454,5.2048426,32.4330639965655,114.10112156484168,0.018132308366036107,24.968204159565964,5.665420173266499,9.78,Neutral
29110,primer-uds-north,34.42591519726276,-5.159179553898098,7.1287746,33.500274766922836,100.54216119836272,0.01903516358638796,26.140932515917935,5.6253035673100715,9.63,Neutral
31581,primer-uds-north,34.369660395452605,-5.1551482967237865,4.1634083,34.42539593315992,84.0964646424577,0.012031661197090237,26.06989858489563,5.160444522519396,9.01,Support
31645,primer-uds-north,34.514179116647604,-5.155046303348935,4.7559195,33.01766926212276,113.68773652076456,0.017280076510252387,25.44827224912885,5.388572760133869,9.5,Weak
32025,primer-uds-north,34.452492762590296,-5.154707337215251,4.0433307,32.70932840163234,84.81280966663823,0.011983998252277972,24.345211768461517,4.863077098613942,8.72,Support
32237,primer-uds-north,34.41985984195683,-5.154215136324553,4.6121683,31.74859313518384,75.56104237564186,0.011319460144884075,23.260596390363872,5.943404119105839,9.7,Support
32986,primer-uds-north,34.41140073334921,-5.153087888601745,4.152747,34.21161346742691,88.70998326951835,0.012677717493868946,25.96969349849662,5.1740550053221375,9.07,Support
33332,primer-uds-north,34.404984092098026,-5.152606688880327,4.5419765,33.18830120930529,151.4941816207269,0.022533416403249257,26.195311102344185,5.3492080932479205,9.71,Weak
33774,primer-uds-north,34.24782824156703,-5.151996752625728,7.137637,33.5012311216894,130.27219633898406,0.02468226415441116,26.706030782958685,5.9202965295115915,10.15,Neutral
35111,primer-uds-north,34.296003362134044,-5.149896222259397,5.6563144,32.365421166404815,110.39002628754632,0.018320744579919945,24.923011448177977,5.88414032647366,9.97,Neutral
36327,primer-uds-north,34.27604159504762,-5.148030618101284,7.861698,34.23886074856525,99.20324935216414,0.019946391337343616,26.981057107346857,6.00694820503432,10.0,Null wins
42014,primer-uds-north,34.36071841832473,-5.139081941674189,4.551596,33.92395922944357,191.7669702235892,0.02855156846231653,27.44498376582534,4.724452386457068,9.29,Neutral
42859,primer-uds-north,34.4596070740345,-5.137797708107967,6.580927,32.96272262511327,79.06514917711044,0.014278106541191552,24.978950398238887,5.454029810636619,9.25,Support
43738,primer-uds-north,34.4243105632024,-5.1364909347605625,5.090068,31.696637005221536,93.7992621780625,0.01473920948283248,23.78188264376803,5.7856011555074645,9.73,Neutral
43932,primer-uds-north,34.386713074172285,-5.136108226081832,4.235388,32.929192060292124,124.4399173826422,0.017936539584522234,25.440760043620845,5.350080571794532,9.54,Support
44053,primer-uds-north,34.447358936910916,-5.135860437645193,5.438139,33.13164488676875,126.5139810188023,0.02056453160611013,25.940113679135752,5.215722956188909,9.42,Neutral
44681,primer-uds-north,34.41782169195119,-5.134841768801986,4.5811663,32.95280516587494,82.07716409557993,0.012256989892598363,24.6375989874524,5.351555315159397,9.18,Support
46085,primer-uds-north,34.4549315772716,-5.132707859848963,4.78585,31.932941122886934,75.19261660062519,0.01146339419858085,23.472381939664828,5.937649604110135,9.69,Weak
48927,primer-uds-north,34.277044585960994,-5.128335591767835,7.907303,34.34199851342618,88.70323407788338,0.01790011604151686,26.849152427163517,6.0741210914171795,9.97,Null wins
