id,field,ra,dec,z_phot,F444W_mag,r_eff_50_phys,r_eff_arcsec,SB_F444W,logSigma_Mstar,logMstar_best,BD,break_strength,verdict
11219,primer-uds-north,34.47112649680852,-5.190443847236024,5.4287095,31.76680214330797,69.45012848458238,0.011278717199544023,23.270975361914573,6.246653892938591,9.93,9.09163499279163,1.6566807572950988,Neutral
18804,primer-uds-north,34.363515044768505,-5.176963791951121,4.3172913,31.883826050111832,104.11764122760248,0.015134526615348032,24.026544939064213,5.684951358679198,9.72,9.77257781433908,1.048570615900649,Support
18892,primer-uds-north,34.268908020655076,-5.176721823124139,4.729469,33.09705989140475,90.50174813927704,0.013719330985322433,25.026599242068492,5.086686063691049,9.0,8.071625557665836,0.9191440768644727,Neutral
32237,primer-uds-north,34.41985984195683,-5.154215136324553,4.6121683,31.74859313518384,75.56104237564186,0.011319460144884075,23.260596390363872,5.943404119105839,9.7,7.04272538634865,1.6849280607619097,Support
33774,primer-uds-north,34.24782824156703,-5.151996752625728,7.137637,33.5012311216894,130.27219633898406,0.02468226415441116,26.706030782958685,5.9202965295115915,10.15,10.57346732314492,1.1261029446998332,Neutral
35111,primer-uds-north,34.296003362134044,-5.149896222259397,5.6563144,32.365421166404815,110.39002628754632,0.018320744579919945,24.923011448177977,5.88414032647366,9.97,8.58026965161001,,Neutral
43738,primer-uds-north,34.4243105632024,-5.1364909347605625,5.090068,31.696637005221536,93.7992621780625,0.01473920948283248,23.78188264376803,5.7856011555074645,9.73,8.301963545649006,2.0598098257356776,Neutral
43932,primer-uds-north,34.386713074172285,-5.136108226081832,4.235388,32.929192060292124,124.4399173826422,0.017936539584522234,25.440760043620845,5.350080571794532,9.54,6.9031188958133445,0.8032256233773978,Support
55902,primer-uds-north,34.3723692861514,-5.115911848045463,8.670386,33.767270860441336,76.45530737967627,0.0163659258592228,26.079848439213627,6.333184722643235,10.1,10.412548790533588,2.71770107482258,Null wins
70813,primer-uds-north,34.21381277634704,-5.087049613041547,4.7062697,32.61094686061549,100.70344797393987,0.01523017362180739,24.767345813647943,5.4639113188645565,9.47,9.636753618339853,1.1970224560155065,Weak
32928,primer-cosmos-east,150.14445146027904,2.3443942646772653,4.4581003,31.736952656381618,88.29622998359365,0.013021406763361481,23.553116866252545,6.02811567851362,9.92,9.391761361178164,1.2016468135515317,Support
43445,primer-cosmos-east,150.12941198164475,2.3936625758734276,5.696871,35.00493290238836,150.07226935186785,0.025002125845916535,28.237692268263825,4.617399100258085,8.97,6.0819216616444125,2.253516843185393,Weak
50988,primer-cosmos-east,150.17594858416723,2.4324329415506116,4.526494,31.25161799979915,112.92731964664192,0.016770480422340528,23.61722020141731,5.784401959613459,9.89,11.570908900921902,1.0283690416577227,Support
25430,primer-uds-south,34.45335415712461,-5.27071720106125,7.1282,33.464072960997036,73.30048856467192,0.013876955511064167,25.418418622543115,6.419786261352561,10.15,8.538334056233913,1.8867663110871935,Neutral
47509,primer-uds-south,34.26460314475026,-5.232585427484487,5.659403,32.418812560338964,196.7753709572188,0.03266712099950596,26.2322415478884,5.522058520414391,10.11,7.461911166986742,0.9953275834488604,Support
50716,primer-uds-south,34.31315407240597,-5.226780942036896,7.8636265,33.54834995264308,69.90504346274642,0.014057684292491705,25.530793562896346,6.320982979867016,10.01,8.433626176197514,2.202697671637387,Null wins
55783,primer-uds-south,34.270711521139155,-5.2176792889822154,4.6260314,31.845984900746732,109.96452826156413,0.016496453992906272,24.17581258330346,5.7274947690409554,9.81,11.6004401577632,1.3407183192215806,Neutral
19354,ceers-full,214.8997085945354,52.81284265178295,5.4279175,33.1291252366491,63.349080495239264,0.010287122089921056,24.433469389242298,5.456519368940459,9.06,12.017115209131902,1.766022086156309,Neutral
22049,ceers-full,215.1370824993564,52.98855485797787,7.1350226,33.04671096896166,55.6208414369509,0.010535981613188422,24.402960670935556,6.52952489075456,10.02,9.740430571614649,0.4601719075018867,Null wins
23054,ceers-full,215.07825941225204,52.94849717876277,6.8682966,33.886522255354016,64.28460296438449,0.01190327961223768,25.507730114331153,6.323786068096718,9.94,3.533950760470007,1.4409150243858055,Neutral
28748,ceers-full,214.92414994156533,52.84905137748051,4.7529554,32.03723642435992,65.65756697521525,0.009976710357857575,23.275047926287726,5.855430429287553,9.49,10.45501803963858,2.2425006036282635,Neutral
29421,ceers-full,215.0220706743329,52.920785903564735,4.785098,33.544379773967506,70.82442982441934,0.010796632820958491,24.953696114949175,5.659633826205383,9.36,11.355897640028996,1.5557838820573608,Weak
36985,ceers-full,214.99097734698265,52.91652307509784,5.6537137,32.862478879644,61.34467743649027,0.010178489808801663,24.1437702920719,5.694446225620981,9.27,10.110770855530884,,Null wins
41179,ceers-full,214.89247914214488,52.85689049273915,7.24225,33.176680823139954,57.4217396408689,0.010975581152184088,24.621693130997144,6.931847308632517,10.45,3.919352610751379,1.0777009872873962,Support
41913,ceers-full,214.79536842274857,52.78884586799004,5.2459974,30.90109695389904,61.63378721184913,0.009833894345127943,22.10759932533878,6.200362290705325,9.78,10.073670862061974,2.319025795232471,Null wins
42093,ceers-full,214.88679187567013,52.85538075151782,6.445882,32.291667174855434,56.23605433097119,0.01003472915423563,23.54207013163588,6.119970316317856,9.62,13.118478224146935,1.7227957111771834,Support
48983,ceers-full,214.89224818634747,52.8774094024243,7.136761,31.663841107405286,51.93081889094175,0.009838442020510072,22.87134744213765,7.109149658025244,10.54,8.031413891928928,2.9886936353139615,Null wins
55490,ceers-full,214.9830263067039,52.95600124785248,7.1493306,31.608801689438607,52.387914284993016,0.009935567370484667,22.83763973385608,7.221537783464851,10.66,11.366781301158753,2.4641376465445246,Neutral
61323,ceers-full,214.97244135966025,52.962192664107064,7.1270275,33.700871855773066,61.552384141078534,0.011651697680642234,25.27569257617251,5.871510241297612,9.45,7.978483933571669,1.4113449643080878,Neutral
71321,ceers-full,214.80914693119064,52.86847974477716,7.12932,33.581585308266604,63.36040081081617,0.01199627220911845,25.219691549187633,5.986364168223011,9.59,10.79335346185145,-1.3899655953217076,Neutral
13074,primer-cosmos-west,150.07167339071867,2.200406394279048,5.214783,31.38233648383899,79.73062908385373,0.012682648260768209,23.141260905286824,6.176749618519206,9.98,9.856465811079584,1.3286450787410755,Neutral
28491,primer-cosmos-west,150.07802737195297,2.277624990798764,5.5851088,32.20426001765847,79.56627634394629,0.013116262481271856,24.03618519509382,6.008541932391532,9.81,9.193615141413932,1.809881820321106,Support
28500,primer-cosmos-west,150.08282077961337,2.277725899482126,5.42897,32.77138180254864,75.64182650308877,0.01228455812166909,24.46105418141609,5.632475985813819,9.39,9.451992623720866,1.4765471770247984,Neutral
32535,primer-cosmos-west,150.07197125377567,2.297260415195796,5.7491784,32.646009897889165,81.89057825756488,0.013710336475133908,24.574125145877247,6.603532124345528,10.43,9.594263722594366,1.517347676768918,Null wins
44446,primer-cosmos-west,150.10690911630107,2.360047767613252,7.1314645,33.042119445407536,108.95758931533,0.020633101216876636,25.857816670342242,6.235485028164922,10.31,10.039756442415356,1.8242727108959151,Neutral
51657,primer-cosmos-west,150.11024715996857,2.4022096081685143,4.7941256,32.1219845265619,80.07213167615052,0.012217436868457878,23.79975972611025,5.56303721914736,9.37,12.415545826501363,5.330089722125184,Weak
