id,field,ra,dec,f090w_flux,f090w_fluxerr,f105w_flux,f105w_fluxerr,f115w_flux,f115w_fluxerr,f115wn_flux,f115wn_fluxerr,f125w_flux,f125w_fluxerr,f140w_flux,f140w_fluxerr,f150w_flux,f150w_fluxerr,f150wn_flux,f150wn_fluxerr,f160w_flux,f160w_fluxerr,f200w_flux,f200w_fluxerr,f200wn_flux,f200wn_fluxerr,f277w_flux,f277w_fluxerr,f356w_flux,f356w_fluxerr,f410m_flux,f410m_fluxerr,f435w_flux,f435w_fluxerr,f444w_flux,f444w_fluxerr,f475w_flux,f475w_fluxerr,f606w_flux,f606w_fluxerr,f775w_flux,f775w_fluxerr,f814w_flux,f814w_fluxerr,f606wu_flux,f606wu_fluxerr,f850lp_flux,f850lp_fluxerr,f110w_flux,f110w_fluxerr,f182m_flux,f182m_fluxerr,f210m_flux,f210m_fluxerr,f150w2-f162m_flux,f150w2-f162m_fluxerr,f250m_flux,f250m_fluxerr,f300m_flux,f300m_fluxerr,f335m_flux,f335m_fluxerr,f350lpu_flux,f350lpu_fluxerr,f430m_flux,f430m_fluxerr,f460m_flux,f460m_fluxerr,f480m_flux,f480m_fluxerr,f814wu_flux,f814wu_fluxerr,f850lpu_flux,f850lpu_fluxerr,z_phot,z_phot16,z_phot84,av,av_err,lbol,lbol_err,muv,muv_err,r_eff_16_pix,r_eff_50_pix,r_eff_84_pix,r_eff_16_phys,r_eff_50_phys,r_eff_84_phys,verdict,delta_chi2nu,Av_null,C_AGN,Av_geff,chi2nu_geff,alpha_AGN,ir_excess,group,fxb_full_05_7keV,offaxis_factor,sep_from_center_arcmin,ha_observed_um,ha_instrument,logMstar_best,logMstar_err,method,n_bands_used,F444W_mag,d_A_pc,r_eff_arcsec,area_arcsec2,SB_F444W,logSigma_Mstar,Balmer_dec_total,LHa_total,logLHa_total,logL_5100,Ha_total_ew,Hb_total_ew,log_LHa_over_Mstar,log_L5100_over_Mstar
11219,primer-uds-north,34.47112649680852,-5.190443847236024,0.050267412436407,0.0089743516627115,0.0466150596743984,0.0098261615263748,0.0573366370136806,0.0089650255034808,,,0.0585387285713185,0.0130122516909584,0.0555062601602047,0.0217716817716954,0.0691441310542971,0.007181551622913,,,0.0493923143958132,0.0113804057154971,0.0623568343653006,0.0057902011067585,,,0.1462795568153569,0.004125016393187,0.3326906196381736,0.0041319482891463,1.0155931647424583,0.0075723594473898,-0.0152777775306405,0.0126065145170079,0.7133544776215276,0.0060294481557439,,,0.0002581979482021,0.0052070879979789,-99.0,-99.0,0.0424545891901214,0.0057872742822464,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4287095,5.3946824,5.4617147,2.7,0.1515560500026276,45.8993461076991,0.2800035953457732,-19.19512162645615,0.1131188960852433,0.2631860768795013,0.2882082611322403,0.3493479144573211,63.42048205983867,69.45012848458238,84.18307459184682,Neutral,0.03,3.69,0.0436,3.82,0.98,0.816,10.32,Neutral,6.186025187913603e-16,4.12,7.07,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),9.93,0.3,M_UV_relation,0,31.76680214330797,1270102840.4588,0.011278717199544023,0.00039964031024107116,23.270975361914573,6.246653892938591,9.09163499279163,2.0312369851999155e+43,43.30776059502066,43.84605659553506,1464.5815500122974,165.609946471713,33.37776059502066,-8.288069459899084
18804,primer-uds-north,34.363515044768505,-5.176963791951121,0.0753999708299423,0.0041289516300452,-99.0,-99.0,0.0831636755763416,0.0039762120681419,,,0.0833201816995381,0.0143198114427368,0.0300365227108119,0.0253383239094683,0.0891541222951243,0.0033165966158298,,,0.0539782592172583,0.0121300948975184,0.1501415059658517,0.0028421079251323,,,0.3408613934717944,0.0024604611480502,0.5875086996007753,0.0026986245010303,0.5473428191170134,0.0039824358814415,0.025516511077506,0.010048113099666,0.6404656302606717,0.0034617046733555,,,0.0423605912127227,0.0050520167459973,-99.0,-99.0,0.0841492586970652,0.0049111630369381,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3172913,4.0484204,4.3846164,1.5,0.1102855824325886,45.080679388561705,0.3787061923959831,-19.21290064350012,0.0718484285152047,0.352542781829834,0.3869165033102035,0.4259975361824035,94.8678140164811,104.11764122760248,114.6341865922482,Support,345.52,1.18,0.4194,0.75,562.92,0.01,7.18,Support,1.7495142700349302e-16,1.17,1.63,3.49,NIRSpec (F100LP+G140H/F170LP+G235H),9.72,0.3,M_UV_relation,0,31.883826050111832,1418995507.0040073,0.015134526615348032,0.0007195940365434432,24.026544939064213,5.684951358679198,9.77257781433908,4.636902617980284e+42,42.666227972185695,43.20779743787976,928.3776269095747,107.62485343471538,32.946227972185696,-8.084437871734485
18892,primer-uds-north,34.268908020655076,-5.176721823124139,0.0234404457361277,0.0064905738005278,-99.0,-99.0,0.0170961447166978,0.0063061437482903,,,0.0122952431736026,0.012564242497423,0.0069052592405901,0.0148964919741957,0.0178511494541913,0.0051298907304826,,,0.0030996032741491,0.0109738750839263,0.0322109468697378,0.0041859291337224,,,0.1146473134471262,0.0030469672496016,0.1934783788720349,0.0029346364526891,0.1731469830775471,0.0054960530733534,0.0066716563827542,0.0076265821203285,0.2095088110909186,0.0044602322691021,,,0.00120823156978,0.0061092155103584,-99.0,-99.0,0.0218304642514832,0.0053380188016933,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.729469,4.5304947,4.7732325,1.0,0.1235976062554343,44.431549491761906,0.1655077861671023,-17.341007529473167,0.0851604523380498,0.2893921387195587,0.350668340921402,0.4796098804473876,74.68736522683268,90.50174813927704,123.77944496303152,Neutral,-0.01,0.44,0.2456,0.56,44.56,0.071,11.74,Neutral,4.518802159778199e-16,3.01,5.67,3.76,NIRSpec (F100LP+G140H/F170LP+G235H),9.0,0.3,M_UV_relation,0,33.09705989140475,1360659867.4468277,0.013719330985322433,0.0005913107033570135,25.026599242068492,5.086686063691049,8.071625557665836,2.7434898195559894e+42,42.43830335295777,43.209370636902236,696.787189748034,115.53177890032781,33.43830335295777,-7.364422059328923
32237,primer-uds-north,34.41985984195683,-5.154215136324553,0.0536320349250475,0.0037369877391543,-99.0,-99.0,0.0681093227104191,0.0036353158252279,,,0.0541389920501765,0.0141771657672272,0.0744364604808931,0.0239291348647712,0.0902246584262055,0.0030572570827633,,,0.0827410883669738,0.0116233836415213,0.1719403408324839,0.0026719167385196,,,0.6167797728984526,0.0027217474796889,0.5868489564791659,0.00259914531047,0.692549293314426,0.0039236301265026,-0.0143280828851919,0.0129437144660362,0.7254191144338352,0.0034309448214796,,,0.0206837165002077,0.0080512616423885,-99.0,-99.0,0.067395283875803,0.0060764924952068,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6121683,4.489664,4.719535,1.2000000000000002,0.1483999262563277,45.10744179033904,0.2362775662970576,-19.028361620570273,0.1099627723389424,0.2694616198539734,0.2893424034118652,0.3238868916034698,70.36922565204708,75.56104237564186,84.58224875711777,Support,178.9,0.0,0.1093,0.0,1013.94,0.567,8.04,Support,2.705574605731473e-16,1.8,3.59,3.68,NIRSpec (F100LP+G140H/F170LP+G235H),9.7,0.3,M_UV_relation,0,31.74859313518384,1376885311.3243046,0.011319460144884075,0.000402532825818791,23.260596390363872,5.943404119105839,7.04272538634865,6.215510832044085e+42,42.79347682754509,43.57376983537519,779.9020315456597,130.2129851970737,33.09347682754509,-8.060774864946593
33774,primer-uds-north,34.24782824156703,-5.151996752625728,0.0174884686636003,0.0048408778930465,-99.0,-99.0,0.0267020730515087,0.0047695394565138,,,0.0153665562058496,0.0081283700638659,0.0382305876526022,0.0214294525237693,0.0344318032419615,0.003955716798331,,,0.0428142531214432,0.0111345666362022,0.0307403574584522,0.0032909900627252,,,0.0390322943415125,0.0024937869037559,0.0772490454938365,0.0023847665448623,0.2023191751582338,0.00457552771442,-0.0104480056700765,0.0076582801949279,0.144388897479664,0.0037058222667841,,,-0.0031174373403667,0.0061607029932246,-99.0,-99.0,0.0026822511147617,0.0061689245317191,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.137637,7.1048284,7.169101,2.9000000000000004,0.1515802380031312,45.88339944965295,0.1855757505796783,-18.953017296665102,0.1131430840857472,0.4864764297008514,0.6304278671741486,0.8239727735519409,100.52593843661872,130.27219633898406,170.26649442906688,Neutral,0.0,3.73,0.1734,3.86,1.85,0.514,4.19,Neutral,5.713710412567277e-16,3.81,6.7,5.34,MIRI (unlikely),10.15,0.3,M_UV_relation,0,33.5012311216894,1088660035.795715,0.02468226415441116,0.0019139027414196382,26.706030782958685,5.9202965295115915,10.573467323144921,1.214656283356556e+43,43.084453401093505,43.65717364185954,1152.9005689229339,133.67938029521946,32.934453401093506,-8.50994438386913
35111,primer-uds-north,34.296003362134044,-5.149896222259397,0.0686906761533883,0.0080749918646115,0.0398663262501405,0.0142007631659777,0.0558822460865464,0.007886548899074,,,0.0634127550200489,0.0133614614086952,0.0621856839675526,0.0106500864559071,0.0458137970428851,0.0068466994807176,,,0.0289715016562534,0.0111021621267327,0.0618354447869686,0.0057219792111389,,,0.109729231480978,0.0040895787480256,0.2417288015065805,0.0035483288354596,0.2331417723038061,0.0061131631720088,-0.0077492445565659,0.009381205500499,0.4110151046720455,0.0053918770567745,,,-0.0079579684628402,0.0071773752721055,-99.0,-99.0,0.0259300268572282,0.0062553302645132,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6563144,5.6359606,5.6770415,1.9,0.1517854013846472,45.33600475701811,0.2990573435692831,-19.19921348276847,0.1133482474672646,0.3717687857151031,0.4681203067302704,0.614334785938263,87.66884375222433,110.39002628754632,144.86966746382706,Neutral,-1.42,2.58,0.2705,3.21,13.83,0.01,8.97,Neutral,2.871121125606634e-16,1.91,3.82,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),9.97,0.3,M_UV_relation,0,32.365421166404815,1242831516.6380775,0.018320744579919945,0.0010544745750336623,24.923011448177977,5.88414032647366,8.58026965161001,7.837808239614067e+42,42.89419463375725,43.48777967462246,937.5735209326879,105.17970609725694,32.92419463375725,-8.33163276524051
43738,primer-uds-north,34.4243105632024,-5.1364909347605625,0.0407772463613361,0.0053863526663196,-99.0,-99.0,0.0488628476644805,0.005436378165051,,,0.0454675732545242,0.0138990701752619,-99.0,-99.0,0.0641538335581396,0.0045396995058939,,,0.0577509329426309,0.0119810936218046,0.0837846758973918,0.0038404606817274,,,0.3387287612709196,0.0032375187185232,0.4551147928485339,0.0032579091432513,0.8967104826815147,0.0055349849066443,0.0384723690677888,0.0164207886395382,0.7609768529956923,0.004686222264112,,,0.0042756318551283,0.0088662796793524,-99.0,-99.0,0.0442635419565714,0.0103020506014725,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.090068,5.0624433,5.212001,1.7000000000000002,0.166639072705296,45.41512111110986,0.1933435770622445,-18.88910495802235,0.1282019187879139,0.2769595205783844,0.3766811490058899,0.7878241729736328,68.96707932425939,93.7992621780625,196.1800486857217,Neutral,-1.24,1.33,0.1291,1.47,114.8,0.324,11.86,Neutral,2.94622326186047e-16,1.96,3.93,4.0,NIRSpec (F100LP+G140H/F170LP+G235H),9.73,0.3,M_UV_relation,0,31.696637005221536,1312655528.486321,0.01473920948283248,0.0006824930849096627,23.78188264376803,5.7856011555074645,8.301963545649006,4.8916310506850556e+42,42.689453692130094,43.70142518261946,574.0260931548535,62.622099886904714,32.9594536921301,-8.089504399669059
43932,primer-uds-north,34.386713074172285,-5.136108226081832,0.0591662354876194,0.0051516996940898,-99.0,-99.0,0.0501891752115849,0.0050577480332887,,,0.0386149618709448,0.0131399990707237,0.0481355934145636,0.0224707309580269,0.0768208113730922,0.0042230704476066,,,0.0504529628994161,0.0110009245916465,0.0961216408543328,0.0035503938327163,,,0.1955671707588598,0.0027509572963092,0.2492794522171978,0.0026302469904358,0.2217829615528485,0.0045167920372271,0.0148753149819438,0.0098940215182383,0.2445397279934735,0.0037725780216289,,,0.0303792191008778,0.0071268949193748,-99.0,-99.0,0.0595462515379489,0.0076924918845516,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.235388,4.013985,4.4050517,0.5,0.1392346220398253,44.25183242633032,0.3569631122433203,-18.820637438275337,0.1007974681224403,0.3708625066280365,0.4585700333118438,0.5937710046768189,100.63915287226968,124.4399173826422,161.1287467533771,Support,98.55,0.19,0.2563,0.0,63.05,0.544,3.18,Support,1.8040319622166372e-16,1.2,1.8,3.44,NIRSpec (F100LP+G140H/F170LP+G235H),9.54,0.3,M_UV_relation,0,32.929192060292124,1431022937.1712105,0.017936539584522234,0.0010107114677593571,25.440760043620845,5.350080571794532,6.9031188958133445,3.7940022702594076e+42,42.579097586188524,43.111250011267735,1131.8436045827757,197.9883448293101,33.039097586188525,-7.905409384589268
55902,primer-uds-north,34.3723692861514,-5.115911848045463,0.0040361920585011,0.0039592930110688,-99.0,-99.0,0.0045438470531618,0.0039846892243956,,,-99.0,-99.0,-99.0,-99.0,0.0199064789027784,0.0033734455214642,,,-99.0,-99.0,0.012749266871541,0.0027561092685089,,,0.0151996593579417,0.0023681685467718,0.0531698126201307,0.0022702216178522,0.1092217543006785,0.0044058171709616,-0.049777234883527,0.0121695005140932,0.1130102679733642,0.0034472954987206,,,0.0076179351037169,0.0092348660389004,-99.0,-99.0,0.0013224755826395,0.0109398234939281,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.670386,8.46465,8.837678,2.9000000000000004,0.1479949485730616,46.27189689771328,0.3206520180356842,-18.158123577049885,0.1095577946556769,0.3201575982570648,0.4179035723209381,0.6155620455741883,58.57271678425516,76.45530737967627,112.61685355848984,Null wins,-41.92,2.98,0.4041,0.63,46.75,0.01,5.68,Null wins,1.9433996278455655e-16,1.3,2.17,6.35,MIRI (unlikely),10.1,0.3,M_UV_relation,0,33.767270860441336,963590701.3340111,0.0163659258592228,0.0008414552637392039,26.079848439213627,6.333184722643235,10.412548790533588,1.2522036709043265e+43,43.097674968328306,43.740750362504514,700.9996122784863,108.03880482080396,32.997674968328305,-8.459113771012603
70813,primer-uds-north,34.21381277634704,-5.087049613041547,0.05645574974533,0.0090503116374295,-99.0,-99.0,0.0437425831858038,0.0085420241187225,,,-99.0,-99.0,-99.0,-99.0,0.0543455877996551,0.0071286646550677,,,-99.0,-99.0,0.0774826994554625,0.0060861783090344,,,0.2562148404245617,0.0046078136800348,0.4813231451267677,0.0046602832402254,0.2933622577732484,0.0079595405917132,-99.0,-99.0,0.3278291024459838,0.006696302788484,,,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7062697,4.6112947,4.75521,0.7000000000000001,0.14337193000344,44.59105803194531,0.2874236248436628,-18.445861592288747,0.1049347760860559,0.305956711769104,0.3892896920442581,0.5610162568092346,79.14644655531956,100.70344797393987,145.1265537842708,Weak,5.45,0.0,0.1185,0.0,513.55,0.475,6.03,Support,9.992631310941229e-16,6.66,9.52,3.74,NIRSpec (F100LP+G140H/F170LP+G235H),9.47,0.3,M_UV_relation,0,32.61094686061549,1363845036.3167763,0.01523017362180739,0.0007287181410899252,24.767345813647943,5.4639113188645565,9.636753618339853,1.6002639910602339e+43,43.20419163271346,43.65092580448193,1541.2225907293987,177.59622039878775,33.73419163271346,-7.830006540789707
