src_id,ra,dec,BD,logLHa,logL5100,LHa_over_L5100,z_spec,logSigma_Mstar,SB_F444W,logMstar,F444W_mag,Ha_enhancement_vs_type1
CEERS-746,214.80912499999997,52.86847222222222,10.79335346185145,42.46444571319819,43.184255499906236,0.190629545880054,5.629804398175934,5.986364168223011,25.219691549187633,9.59,33.581585308266604,19.0629545880054
EGS-47962,214.89249999999996,52.85688888888889,3.919352610751379,42.953876502798465,43.75047778605335,0.15973449635059656,6.7285585,6.931847308632517,24.621693130997144,10.45,33.176680823139954,15.973449635059655
EGS-51623,214.8868333333333,52.85538888888889,13.118478224146937,42.86362875078551,43.60866589109284,0.1798717084572047,4.9589176,6.119970316317856,23.54207013163588,9.62,32.291667174855434,17.98717084572047
EGS-71365,214.89554166666662,52.90672222222222,5.3575050654054674,42.113072737015706,43.07204623665526,0.10990729020839546,4.8042393,,,,,10.990729020839545
JADES-GN-39353,189.29395833333334,62.153083333333335,4.779536715705723,42.2304397994578,43.14851654083892,0.12076004289574445,4.8533993,,,,,12.076004289574445
JADES-GN-68797,189.22912499999998,62.14619444444445,14.358347566491634,43.77397550422155,44.19168514240957,0.3821997175865258,5.043335,,,,,38.219971758652584
JADES-GN-73488,189.19741666666664,62.17722222222222,9.883077350864092,42.73839632058089,43.30623077358301,0.27049892717870194,4.130943,,,,,27.049892717870193
JADES-GN-53501,189.29504166666666,62.19358333333333,7.482145137875433,42.61479862050621,43.21601079646372,0.2504885184380531,3.43598,,,,,25.04885184380531
RUBIES-EGS-926125,215.13708333333332,52.98855555555556,9.740430571614649,42.68098613518208,43.26255857986003,0.2620761832796719,5.2878757,6.52952489075456,24.402960670935556,10.02,33.04671096896166,26.20761832796719
RUBIES-EGS-29489,215.0220833333333,52.92077777777777,11.355897640028996,42.78456752023671,43.32191877350218,0.2901674857999845,4.5332627,5.659633826205383,24.953696114949175,9.36,33.544379773967506,29.016748579998453
RUBIES-EGS-42046,214.79537499999995,52.78883333333333,10.073670862061974,43.61571027002111,44.12420105121413,0.3101053214161717,5.2845182,6.200362290705325,22.10759932533878,9.78,30.90109695389904,31.01053214161717
RUBIES-EGS-55604,214.98304166666662,52.956,11.366781301158753,43.84422774850189,44.374955439946206,0.2946268405184086,6.988607,7.221537783464851,22.83763973385608,10.66,31.608801689438607,29.46268405184086
RUBIES-EGS-61496,214.9724583333333,52.96219444444445,7.978483933571669,42.403662742494,43.3627950676825,0.10986710343446719,5.083718,5.871510241297612,25.27569257617251,9.45,33.700871855773066,10.986710343446719
RUBIES-EGS-952625,214.97554166666666,52.92527777777777,6.683723792262343,41.897396388051696,42.86892506393921,0.10677542878147564,5.1085505,,,,,10.677542878147564
RUBIES-EGS-42803,214.92954166666664,52.88791666666667,16.0970869376235,42.92072176641837,43.625878607712245,0.19717105431377405,7.152932,,,,,19.717105431377405
